Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2548
Absentee by Mail,Absentee By Mail ICC - 1,34
Absentee by Mail,Absentee By Mail ICC - 2,38
Election Day,ED-Tifton NE ICP 1 - 0,313
Election Day,ED-Brookfield ICP 1 - 0,274
Election Day,ED-Chula ICP 1 - 0,285
Election Day,ED-TyTy ICP 1 - 0,207
Election Day,ED-Eldorado ICP 1 - 0,207
Election Day,ED-Tifton Lodge ICP 1 - 0,362
Election Day,ED-Tifton South ICP 1 - 0,219
Election Day,ED-Mott-Litman Gym ICP 1 - 0,258
Election Day,ED-Omega ICP 1 - 0,147
Election Day,ED-Tifton NW ICP 1 - 0,387
Election Day,ED-Brighton ICP 1 - 0,413
Election Day,ED-Docia ICP 1 - 0,222
Provisional,Provisional ICC - 1,6
