Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC 2 - 1,49
Absentee by Mail,Absentee By Mail ICC 2 - 2,43
Absentee by Mail,Absentee By Mail ICC 1 - 8,50
Absentee by Mail,Absentee By Mail ICC 1 - 9,51
Absentee by Mail,Absentee By Mail ICC 1 - 10,51
Absentee by Mail,Absentee By Mail ICC 1 - 11,50
Absentee by Mail,Absentee By Mail ICC 1 - 12,50
Absentee by Mail,Absentee By Mail ICC 1 - 13,50
Absentee by Mail,Absentee By Mail ICC 1 - 14,50
Absentee by Mail,Absentee By Mail ICC 1 - 15,50
Absentee by Mail,Absentee By Mail ICC 1 - 16,50
Absentee by Mail,Absentee By Mail ICC 1 - 17,50
Absentee by Mail,Absentee By Mail ICC 1 - 18,49
Absentee by Mail,Absentee By Mail ICC 1 - 19,50
Absentee by Mail,Absentee By Mail ICC 1 - 20,50
Absentee by Mail,Absentee By Mail ICC 1 - 21,50
Absentee by Mail,Absentee By Mail ICC 1 - 22,50
Absentee by Mail,Absentee By Mail ICC 1 - 23,50
Absentee by Mail,Absentee By Mail ICC 1 - 24,50
Absentee by Mail,Absentee By Mail ICC 1 - 25,49
Absentee by Mail,Absentee By Mail ICC 1 - 26,50
Absentee by Mail,Absentee By Mail ICC 1 - 27,50
Absentee by Mail,Absentee By Mail ICC 1 - 28,50
Absentee by Mail,Absentee By Mail ICC 1 - 29,50
Absentee by Mail,Absentee By Mail ICC 1 - 30,49
Absentee by Mail,Absentee By Mail ICC 1 - 31,50
Absentee by Mail,Absentee By Mail ICC 1 - 32,50
Absentee by Mail,Absentee By Mail ICC 1 - 33,47
Absentee by Mail,Absentee By Mail ICC 1 - 34,50
Absentee by Mail,Absentee By Mail ICC 2 - 3,23
Absentee by Mail,Absentee By Mail ICC 1 - 37,50
Absentee by Mail,Absentee By Mail ICC 1 - 38,50
Absentee by Mail,Absentee By Mail ICC 1 - 39,50
Absentee by Mail,Absentee By Mail ICC 1 - 40,50
Absentee by Mail,Absentee By Mail ICC 1 - 41,49
Absentee by Mail,Absentee By Mail ICC 1 - 42,50
Absentee by Mail,Absentee By Mail ICC 1 - 43,27
Absentee by Mail,Absentee By Mail ICC 1 - 44,50
Absentee by Mail,Absentee By Mail ICC 3 - 1,8
Absentee by Mail,Absentee By Mail ICC 1 - 45,48
Absentee by Mail,Absentee By Mail ICC 1 - 46,50
Absentee by Mail,Absentee By Mail ICC 1 - 47,50
Absentee by Mail,Absentee By Mail ICC 1 - 48,50
Absentee by Mail,Absentee By Mail ICC 1 - 49,50
Absentee by Mail,Absentee By Mail ICC 2 - 4,7
Absentee by Mail,Absentee By Mail ICC 1 - 50,38
Absentee by Mail,Absentee By Mail ICC 1 - 51,50
Absentee by Mail,Absentee By Mail ICC 1 - 52,50
Absentee by Mail,Absentee By Mail ICC 1 - 53,49
Absentee by Mail,Absentee By Mail ICC 1 - 54,50
Absentee by Mail,Absentee By Mail ICC 1 - 55,50
Absentee by Mail,Absentee By Mail ICC 1 - 56,49
Absentee by Mail,Absentee By Mail ICC 1 - 57,49
Advance Voting,AV-North Dekalb Senior Center All,4075
Advance Voting,AV-Hairston Crossing ICP 1 - 0,1795
Advance Voting,AV-Clarkston Library All,1848
Advance Voting,AV-Redan-Trotti Library ICP 1 - 0,2119
Advance Voting,Advance Voting Central ICP 11 - 0,1216
Advance Voting,AV-Wesley Chapel Library All,5171
Advance Voting,AV-Reid H. Cofer Library ICP 2 - 0,3861
Advance Voting,AV-Emory ICP 2 - 0,2846
Advance Voting,AV-Reid H. Cofer Library ICP 1 - 0,3983
Advance Voting,AV-Salem-Panola ICP 1 - 0,3619
Advance Voting,AV-Dunwoody ICP 2 - 0,2546
Advance Voting,Advance Voting Central ICP 1 - 0,2977
Advance Voting,AV-Berean ICP 2 - 0,2976
Advance Voting,AV-Neighborhood Church ICP 1 - 0,2304
Advance Voting,AV-Emory ICP 1 - 0,2832
Advance Voting,AV-Stonecrest ICP 1 - 0,2790
Advance Voting,AV-Bessie Branham ICP 1 - 0,4171
Advance Voting,AV-New Bethel ICP 1 - 0,2301
Advance Voting,AV-Greater Piney Grove ICP 1 - 0,2398
Absentee by Mail,Absentee By Mail ICC 2 - 6,3
Advance Voting,AV-Beulah ICP 1 - 0,3201
Advance Voting,AV-Dunwoody ICP 1 - 0,401
Advance Voting,AV-Ellenwood ICP 1 - 0,3415
Advance Voting,AV-Memorial 1 ICP 1 - 0,3486
Advance Voting,Advance Voting Central ICP 4 - 0,2403
Advance Voting,AV-Living Grace Lutheran Church ICP 1 - 0,1194
Advance Voting,AV-Berean ICP 1 - 0,45
Advance Voting,AV-Memorial 1 ICP 2 - 0,5491
Advance Voting,Advance Voting Central ICP 8 - 0,903
Advance Voting,AV-Briarwood ICP 1 - 0,3684
Advance Voting,Advance Voting Central ICP 6 - 0,1432
Advance Voting,Advance Voting Central ICP 2 - 0,2449
Advance Voting,Advance Voting Central ICP  7 - 0,1033
Advance Voting,Advance Voting Central ICP 9 - 0,1075
Advance Voting,Advance Voting Central ICP 10 - 0,1041
Advance Voting,Advance Voting Central ICP 3 - 0,113
Absentee by Mail,Absentee By Mail ICC 2 - 7,4
Absentee by Mail,Absentee By Mail ICC 3 - 2,4
Absentee by Mail,Absentee By Mail ICC 1 - 58,50
Absentee by Mail,Absentee By Mail ICC 1 - 59,49
Absentee by Mail,Absentee By Mail ICC 1 - 60,10
Absentee by Mail,Absentee By Mail ICC 3 - 3,1
Absentee by Mail,Absentee By Mail ICC 1 - 35,50
Absentee by Mail,Absentee By Mail ICC 1 - 36,50
Election Day,ED-Huntley Hills Elem ICP 1 - 0,495
Election Day,ED-Warren Tech ICP 1 - 0,276
Election Day,ED-Livsey Elem ICP 1 - 0,281
Election Day,ED-Midvale Elem ICP 1 - 0,577
Election Day,ED-Briarcliff-Sagamore Hills Elem,1424
Election Day,ED-Montclair Elem ICP 1 - 0,233
Election Day,ED-Oak Grove Elem ICP 1 - 0,572
Election Day,ED-Lakeside High ICP 1 - 0,774
Election Day,ED-Brockett Elem ICP 1 - 0,393
Election Day,ED-Redan Middle ICP 1 - 0,284
Election Day,ED-Panola ICP 1 - 0,225
Election Day,ED-Shadow Rock Elem ICP 1 - 0,566
Election Day,ED-Lithonia High ICP 1 - 0,428
Election Day,ED-Glenhaven-Rowland Elem ICP 1 - 0,451
Election Day,ED-Woodridge Elem ICP 1 - 0,398
Election Day,ED-Valley Brook-Shamrock,974
Election Day,ED-Druid Hills High ICP 1 - 0,393
Election Day,ED-Doraville North-South ICP 1 - 0,570
Election Day,ED-Kittredge Elem ICP 1 - 0,425
Election Day,ED-Northlake Combined,1005
Election Day,ED-Miller-Eldridge L Miller Elem ICP 1 - 0,406
Election Day,ED-Flat Shoals Library ICP 1 - 0,291
Election Day,ED-Snapfinger Road N ICP 1 - 0,310
Election Day,ED-Harris-Margaret Harris ED ICP 1 - 0,291
Election Day,ED-Emory Road ICP 1 - 0,109
Election Day,ED-Metropolitan ICP 1 - 0,840
Election Day,ED-Oakcliff Elem ICP 1 - 0,213
Election Day,ED-Bethune Middle ICP 1 - 0,516
Election Day,ED-Crossroads ICP 1 - 0,347
Election Day,ED-Columbia Elem-Wadsworth ICP 1 - 0,588
Election Day,ED-Montreal ICP 1 - 0,399
Election Day,ED-North Peachtree-Winters Chapel ICP 1 - 0,592
Election Day,ED-White Oak ICP 1 - 0,306
Election Day,ED-Austin Drive ICP 1 - 0,438
Election Day,ED-Covington-Covington Hwy ICP 1 - 0,284
Election Day,ED-Columbia Drive ICP 1 - 0,286
Election Day,ED-Snapfinger Elem ICP 1 - 0,315
Election Day,ED-McNair High,780
Election Day,ED-Miller Grove Road ICP 1 - 0,334
Election Day,ED-Redan Elem ICP 1 - 0,366
Election Day,ED-Rockbridge Road ICP 1 - 0,600
Election Day,ED-Stephenson Middle ICP 1 - 0,536
Election Day,ED-Oakhurst ICP 1 - 0,875
Election Day,ED-Dresden Elem-Ashford Park Elem,983
Election Day,ED-Shaw-Robert Shaw Elem ICP 1 - 0,453
Election Day,ED-Cross Keys High-Woodward,766
Election Day,ED-Rainbow Elem ICP 1 - 0,447
Election Day,ED-Embry Hills-Evansdale Elem,920
Election Day,ED-Cedar Grove Middle ICP 1 - 0,187
Election Day,ED-Cedar Grove Elem ICP 1 - 0,612
Election Day,ED-Harris-Narvie J Harris Elem ICP 1 - 0,488
Election Day,ED-Briar Vista Elem-Johnson Estates,839
Election Day,ED-Stephenson High-Wynbrooke Elem,1160
Election Day,ED-Redan-Trotti Library ICP 1 - 0,478
Election Day,ED-North Decatur ICP 1 - 0,286
Election Day,ED-Peachcrest-Midway ICP 1 - 0,637
Election Day,ED-McNair Academy-McNair,832
Election Day,ED-Oak View Elem ICP 1 - 0,626
Election Day,ED-Wesley Chapel Library ICP 1 - 0,404
Election Day,ED-Mathis-Bob Mathis Elem ICP 1 - 0,459
Election Day,ED-Briarwood-Brookhaven,788
Election Day,ED-Chapel Hill Elem ICP 1 - 0,512
Election Day,ED-Snapfinger Road S ICP 1 - 0,284
Election Day,ED-McLendon ICP 1 - 0,578
Election Day,ED-Princeton Elem ICP 1 - 0,336
Election Day,ED-Avondale High ICP 1 - 0,761
Election Day,ED-Montgomery Elem ICP 1 - 0,568
Election Day,ED-Lithonia ICP 1 - 0,218
Election Day,ED-Fernbank Elem ICP 1 - 0,611
Election Day,ED-Skyland ICP 1 - 0,359
Election Day,ED-Ashford Parkside ICP 1 - 0,646
Election Day,ED-Kelley Chapel Road ICP 1 - 0,205
Election Day,ED-Pleasantdale Road ICP 1 - 0,346
Election Day,ED-Browns Mill Elem ICP 1 - 0,640
Election Day,ED-Chamblee-Chamblee 2,820
Election Day,ED-Midvale Road-Henderson Mill ICP 1 - 0,799
Election Day,ED-Hawthorne Elem ICP 1 - 0,635
Election Day,ED-Ashford Dunwoody Rd - Silver Lake,1306
Election Day,ED-Knollwood ICP 1 - 0,472
Election Day,ED-Ponce de Leon ICP 1 - 0,738
Election Day,ED-Mount Vernon East ICP 1 - 0,466
Election Day,ED-Mount Vernon West ICP 1 - 0,378
Election Day,ED-Lavista-Lavista Road,898
Election Day,ED-South Deshon ICP 1 - 0,371
Election Day,ED-Decatur-Winnona Park,1226
Election Day,ED-Stonecrest Library ICP 1 - 0,535
Election Day,ED-Brockett-Tucker,925
Election Day,ED-Panola Way Elem-Young Road ICP 1 - 0,396
Election Day,ED-Hugh Howell ICP 1 - 0,436
Election Day,ED-Stoneview Elem ICP 1 - 0,198
Election Day,ED-Smoke Rise ICP 1 - 0,475
Election Day,ED-Salem Middle ICP 1 - 0,606
Election Day,ED-Rock Chapel Elem ICP 1 - 0,441
Election Day,ED-Dunwoody 2-Tilly Mill Road-Kingsley Elem,1221
Election Day,ED-Candler-Murphey Candler Elem ICP 1 - 0,519
Election Day,ED-Glenwood Road ICP 1 - 0,283
Election Day,ED-Miller Grove High-Panola Road,716
Election Day,ED-Rock Chapel Road ICP 1 - 0,748
Election Day,ED-Freedom Middle ICP 1 - 0,326
Election Day,ED-Rockbridge Elem ICP 1 - 0,302
Election Day,ED-Coan Recreation Center,904
Election Day,ED-Clairmont Road-Coralwood,1169
Election Day,ED-South Hairston ICP 1 - 0,422
Election Day,ED-Boulevard,1100
Election Day,ED-Glennwood ICP 1 - 0,814
Election Day,ED-Clairemont West,1136
Election Day,ED-Medlock-Scott,1141
Election Day,ED-Candler-East Lake,1388
Election Day,ED-Candler Park-Lin-Mary Lin Elem,1658
Election Day,ED-Emory South ICP 1 - 0,598
Election Day,ED-Avondale,1119
Election Day,ED-Tucker Library ICP 1 - 0,554
Election Day,ED-Clairemont East,922
Election Day,ED-Stone Mountain Combined,777
Election Day,ED-Allgood Elem ICP 1 - 0,383
Election Day,ED-Redan Road ICP 1 - 0,306
Election Day,ED-Canby Lane Elem ICP 1 - 0,273
Election Day,ED-Jolly Elem ICP 1 - 0,335
Election Day,ED-Pine Lake ICP 1 - 0,239
Election Day,ED-Stone Mtn Middle-Idlewood Elem ICP 1 - 0,540
Election Day,ED-Clarkston Community Center-Indian Creek ICP 1 - 0,421
Election Day,ED-Georgetown Sq-Peachtree Middle,839
Election Day,ED-Marbut Elem ICP 1 - 0,423
Election Day,ED-Austin ICP 1 - 0,519
Election Day,ED-Chesnut Elem ICP 1 - 0,328
Election Day,ED-Dunwoody-Dunwoody Library,854
Election Day,ED-McWilliams-Miller Grove,830
Election Day,ED-Woodrow Road ICP 1 - 0,373
Election Day,ED-Fairington Elem ICP 1 - 0,346
Election Day,ED-Burgess Elem,911
Election Day,ED-Bouldercrest Road-Cedar Grove South ICP 1 - 0,1083
Election Day,ED-Gresham Road ICP 1 - 0,570
Election Day,ED-Columbia Middle-Flat Shoals ICP 1 - 0,472
Election Day,ED-Kelley Lake Elem ICP 1 - 0,433
Election Day,ED-Piney Grove-Terry Mill,738
Election Day,ED-Dunaire Elem-Memorial South ICP 1 - 0,451
Election Day,ED-Toney Elem ICP 1 - 0,273
Election Day,ED-Hambrick Elem ICP 1 - 0,411
Election Day,ED-Rowland Road ICP 1 - 0,324
Election Day,ED-Clarkston ICP 1 - 0,276
Election Day,ED-North Hairston-Stone Mill Elem ICP 1 - 0,397
Election Day,ED-Snapfinger Road,593
Election Day,ED-Flat Rock Elem ICP 1 - 0,529
Election Day,ED-Flat Shoals Parkway ICP 1 - 0,506
Election Day,ED-Flakes Mill ICP 1 - 0,244
Election Day,ED-Clifton-Meadowview ICP 1 - 0,13
Election Day,ED-Flat Shoals Elem ICP 1 - 0,318
Election Day,Election Day Central ICC - 1,76
Election Day,Election Day Central ICC - 2,64
Election Day,Election Day Central ICC - 3,38
Election Day,Election Day Central ICC - 4,86
Election Day,Election Day Central ICC - 5,102
Election Day,Election Day Central ICC - 6,97
Election Day,Election Day Central ICC - 7,84
Election Day,Election Day Central ICC - 8,95
Election Day,Election Day Central ICC - 9,106
Election Day,Election Day Central ICC - 10,1
Absentee by Mail,Absentee By Mail ICC 1 - 61,1
Election Day,Election Day Central ICC - 16,1
Provisional,Provisional ICC - 1,11
Provisional,Provisional ICC - 2,61
Absentee by Mail,Absentee By Mail ICC 2 - 8,6
Provisional,Provisional ICC - 3,70
Absentee by Mail,Absentee By Mail ICC 2 - 9,8
