Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 2 - 0,304,634,6,494,29,128,2,6,80,65,5,15
AV-Elections Office ICP 1 - 0,338,648,7,475,37,110,3,8,47,59,5,12
ICC - Absentee By Mail - 1,17,33,1,17,3,12,0,0,6,4,0,1
ICC - Absentee By Mail - 4,1,0,0,0,0,1,0,0,0,0,0,0
ICC - Absentee By Mail - 2,0,1,0,1,0,0,0,0,0,0,0,0
ICC - Absentee By Mail - 3,10,14,0,5,1,3,1,1,0,5,0,0
ED-West-Central ICP 1 - 0,131,286,3,171,11,30,0,2,17,22,1,5
ED-West-Central ICP 2 - 0,125,252,3,178,11,29,1,5,12,20,4,5
ED-East-South ICP 1 - 0,144,267,6,232,16,59,0,6,20,43,3,6
ED-East-South ICP 2 - 0,104,201,2,144,13,32,1,6,14,27,2,5
ICC - Provisional - 1,0,5,0,1,0,0,0,0,0,0,0,0
