Container,Batch Name,Number of Ballots
Advance Voting,AV-Election Office ICP 1 - 0,690
Advance Voting,AV-Saint George Community Center ICP 1 - 0,15
Absentee by Mail,Absentee By Mail ICC - 3,31
Election Day,ED-Homeland ICP 1 - 0,106
Election Day,ED-Folkston ICP 1 - 0,454
Election Day,ED-Folkston ICP 2 - 0,27
Election Day,ED-Winkour ICP 1 - 0,47
Election Day,ED-Racepond ICP 2 - 0,57
Election Day,ED-St. George ICP 1 - 0,87
Election Day,ED-GA Bend ICP 1 - 0,71
Election Day,Election Day Central ICC - 2,4
