Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 2 - 0,308
Advance Voting,AV-Elections Office ICP 1 - 0,928
Absentee by Mail,ICC-Absentee by Mail - 3,20
Absentee by Mail,ICC-Absentee by Mail - 4,20
Absentee by Mail,ICC-Absentee by Mail - 5,1
Election Day,ED-Sylvania North ICP 1 - 0,169
Election Day,ED-Sylvania North ICP 2 - 0,76
Election Day,ED-Cooperville 2 ICP 1 - 0,192
Election Day,ED-Rocky Ford ICP 1 - 0,172
Election Day,ED-Hiltonia ICP 1 - 0,195
Election Day,ED-White Hill ICP 1 - 0,189
Election Day,ED-Newington ICP 1 - 0,328
