Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail 1 - 1,100
Absentee by Mail,ICC-Absentee by Mail 3 - 1,98
Absentee by Mail,ICC-Absentee by Mail 2 - 2,96
Absentee by Mail,ICC-Absentee by Mail 1 - 2,97
Absentee by Mail,ICC-Absentee by Mail 2 - 3,94
Advance Voting,AV-Warren Road Rec Center ICP 2 - 0,2237
Advance Voting,AV-Robert Howard Comm Ctr  ICP 1 - 0,2669
Advance Voting,AV-Elections Office  ICP 1 - 0,2085
Absentee by Mail,ICC-Absentee by Mail 1 - 3,20
Absentee by Mail,ICC-Absentee by Mail 4 - 2,100
Advance Voting,AV-Elections Office  ICP 2 - 0,2080
Absentee by Mail,ICC-Absentee by Mail 3 - 4,98
Advance Voting,AV-Henry Brigham ICP 1 - 0,1978
Advance Voting,AV-Henry Brigham ICP 2 - 0,1920
Absentee by Mail,ICC-Absentee by Mail 4 - 4,97
Absentee by Mail,ICC-Absentee by Mail 2 - 5,5
Advance Voting,AV-Robert Howard Comm Ctr  ICP 2 - 0,2470
Absentee by Mail,ICC-Absentee by Mail 1 - 5,33
Advance Voting,AV-Warren Road Rec Center ICP 1 - 0,2029
Absentee by Mail,ICC-Absentee by Mail 3 - 5,26
Election Day,ED-Building Worship Center  ICP 1 - 0,341
Election Day,ED-Mt Calvary Baptist  ICP 1 - 0,260
Election Day,ED-Paine College-Heal Complex  ICP 1 - 0,208
Election Day,ED-Pine Hill Baptist  ICP 1 - 0,653
Election Day,ED-Gracewood Comm Center  ICP 1 - 0,711
Election Day,ED-Wallace Branch Library  ICP 1 - 0,172
Election Day,ED-Stevens Creek Church  ICP 1 - 0,556
Election Day,ED-St Augustines Episcopal  ICP 1 - 0,433
Election Day,ED-Burns Mem. Methodist  ICP 1 - 0,529
Election Day,ED-Augusta Aquatics Center  ICP 1 - 0,569
Election Day,ED-Blythe Rec Center  ICP 1 - 0,339
Election Day,ED-Jamestown Comm Center  ICP 1 - 0,342
Election Day,ED-Jamestown Comm Center  ICP 2 - 0,335
Election Day,ED-E Cent Reg Hosp-Gracewood  ICP 1 - 0,465
Election Day,ED-Blythe City Hall  ICP 1 - 0,191
Election Day,ED-Good Shepherd Church  ICP 1 - 0,154
Election Day,ED-Southside Baptist  ICP 1 - 0,527
Election Day,ED-Aldersgate  ICP 1 - 0,541
Election Day,ED-Providence Baptist  ICP 2 - 0,588
Election Day,ED-Providence Baptist  ICP 1 - 0,527
Election Day,ED-Covenant Presbyterian  ICP 1 - 0,826
Election Day,ED-Warren Road Rec Center ICP 1 - 0,496
Election Day,ED-May Park Rec Center  ICP 1 - 0,242
Election Day,ED-Eastview Rec Center  ICP 1 - 0,338
Election Day,ED-Kroc Center  ICP 1 - 0,128
Election Day,ED-McBean Comm Center  ICP 1 - 0,627
Election Day,ED-Cross Creek High School  ICP 1 - 0,485
Election Day,ED-Henry Brigham ICP 1 - 0,383
Election Day,ED-Windsor Spring Baptist  ICP 1 - 0,533
Election Day,ED-Friedman Branch Library  ICP 1 - 0,233
Election Day,ED-Robert Howard Comm Ctr ICP 1 - 0,430
Election Day,ED-Robert Howard Comm Ctr ICP 2 - 0,387
Election Day,ED-Julian Smith Casino  ICP 2 - 0,480
Election Day,ED-Julian Smith Casino  ICP 1 - 0,379
Election Day,ED-Trinity CME Church  ICP 1 - 0,571
Election Day,ED-Carrie J. Mays  ICP 1 - 0,238
Election Day,ED-Vineyard Church ICP 1 - 0,307
Election Day,ED-McDuffie Woods Comm Center  ICP 1 - 0,298
Election Day,ED-New Zion Hill MBC  ICP 1 - 0,399
Election Day,ED-Charles Evans CC ICP 1 - 0,774
Election Day,ED-First Baptist  ICP 1 - 0,735
Election Day,ED-Sharon Baptist  ICP 1 - 0,648
Election Day,ED-National Hills Baptist  ICP 1 - 0,465
Election Day,ED-National Hills Baptist  ICP 2 - 0,424
Election Day,ED-Bernie Ward Comm Center  ICP 1 - 0,233
Election Day,ED-Bernie Ward Comm Center  ICP 2 - 0,329
Election Day,ED-Brothersville Event Ctr  ICP 1 - 0,704
Absentee by Mail,ICC-Absentee by Mail 3 - 6,92
Absentee by Mail,ICC-Absentee by Mail 4 - 5,98
Absentee by Mail,ICC-Absentee by Mail 2 - 6,98
Absentee by Mail,ICC-Absentee by Mail 4 - 6,99
Absentee by Mail,ICC-Absentee by Mail 1 - 6,99
Absentee by Mail,ICC-Absentee by Mail 1 - 7,99
Absentee by Mail,ICC-Absentee by Mail 2 - 7,97
Absentee by Mail,ICC-Absentee by Mail 3 - 7,2
Provisional,ICC-Provisional 1 - 1,47
