Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ED-Christ Sanctified  ICP 2 - 0,18,51,0,24,6,34,0,2,2,7,4,4
ED-Christ Sanctified  ICP 1 - 0,57,122,2,75,5,62,4,7,12,12,4,4
ICC-Absentee by Mail 3 - 9,0,0,0,0,0,33,1,2,8,4,1,1
ED-Parkway Elem School  ICP 2 - 0,51,134,7,61,2,99,2,2,10,22,7,4
ED-Parkway Elem School  ICP 1 - 0,52,190,6,60,17,133,1,10,12,20,6,2
ICC-Election Day - 1,5,20,0,6,1,20,0,0,1,3,0,1
ICC-Election Day - 2,10,17,0,12,4,20,0,1,3,3,2,4
ICC-Election Day - 3,4,13,0,5,1,11,0,1,2,4,0,0
ICC-Election Day - 4,4,12,0,6,0,7,0,0,1,6,0,1
ICC-Election Day - 5,1,8,0,7,0,11,0,0,1,1,1,0
ICC-Election Day - 6,6,13,1,12,2,27,0,0,2,4,0,1
ICC-Election Day - 7,9,19,0,4,1,10,0,2,1,2,0,3
ICC-Election Day - 8,4,23,0,12,1,11,0,0,0,2,1,0
ICC-Election Day - 9,9,20,0,10,2,9,0,1,0,3,2,0
ICC-Election Day - 10,4,19,0,5,0,20,0,0,1,2,1,0
ICC-Election Day - 11,4,16,0,11,1,13,0,1,3,2,0,1
ICC-Election Day - 12,5,12,0,7,2,10,0,2,1,2,1,0
ICC-Election Day - 13,6,11,0,4,1,12,1,0,2,7,1,2
ICC-Election Day - 14,0,0,0,0,0,1,0,0,0,0,0,0
ICC-Absentee by Mail 1 - 1,0,0,0,0,1,2,0,0,0,1,0,0
ICC-Provisional - 1,4,1,0,2,0,11,1,0,0,1,3,2
