Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Commerce Park ICP 1 - 0,36,74,1,63,1,24,0,2,8,3,0,10
AV-Commerce Park ICP 2 - 0,71,133,0,109,3,44,3,3,6,7,0,14
AV-Muni Building ICP 1 - 0,114,257,3,234,10,119,6,7,26,35,1,13
AV-Muni Building ICP 2 - 0,83,188,2,168,12,79,2,1,12,24,2,4
AV-Elections Office ICP 1 - 0,192,382,6,279,20,124,1,4,36,41,5,24
AV-Elections Office ICP 3 - 0,372,841,18,660,40,305,3,12,55,78,6,72
AV-Elections Office ICP 4 - 0,176,308,6,230,20,108,1,4,20,15,2,33
AV-Elections Office ICP 5 - 0,7,19,0,16,1,3,0,0,1,1,0,4
ICC-Absentee by Mail 1 - 2,14,18,0,4,0,4,0,0,4,0,0,4
ICC-Absentee by Mail 1 - 1,8,8,0,6,0,6,0,0,0,5,0,4
ICC-Absentee by Mail 1 - 3,11,9,0,8,1,17,0,0,3,4,1,2
ICC-Absentee by Mail 1 - 4,2,7,0,1,0,9,0,0,2,0,0,3
ICC-Absentee by Mail 1 - 5,4,2,1,2,0,4,0,0,0,0,1,0
ICC-Absentee by Mail 1 - 6,2,9,0,10,0,1,0,0,0,3,0,0
ICC-Absentee by Mail 1 - 7,2,7,1,3,0,10,0,1,4,3,0,1
ICC-Absentee by Mail 1 - 8,0,1,0,1,0,1,1,0,0,1,0,0
ICC-Absentee by Mail 1 - 9,1,9,0,2,0,0,0,0,0,0,0,0
ICC-Absentee by Mail 1 - 10,2,3,0,1,0,2,0,0,0,1,0,1
AV-Elections Office ICP 2 - 0,214,488,8,351,13,166,1,3,37,45,3,29
ED-North Jackson ICP 1 - 0,126,294,3,222,17,103,0,7,10,46,6,21
ED-North Jackson ICP 2 - 0,87,201,4,190,11,74,1,2,9,24,2,10
ED-Central Jackson ICP 4 - 0,52,81,0,69,1,46,0,0,8,11,0,5
ED-Central Jackson ICP 1 - 0,85,231,2,205,10,94,2,8,10,27,8,15
ED-Central Jackson ICP 2 - 0,72,176,4,136,9,61,2,3,9,28,5,9
ED-Central Jackson ICP 3 - 0,38,97,3,81,10,41,1,3,5,18,5,5
ED-South Jackson ICP 1 - 0,94,182,3,197,16,62,3,3,13,35,3,23
ED-South Jackson ICP 2 - 0,61,147,4,153,5,56,2,3,10,20,3,24
ED-West Jackson ICP 1 - 0,66,155,5,115,9,61,1,2,7,37,3,10
ED-West Jackson ICP 2 - 0,70,180,3,165,10,76,2,4,18,37,3,8
ED-West Jackson ICP 3 - 0,81,217,3,203,17,77,2,2,17,40,6,7
ED-West Jackson ICP 4 - 0,70,172,4,149,8,99,2,5,5,36,5,14
ICC-Provisional 1 - 1,2,3,0,2,0,1,0,0,0,1,0,0
