Container,Batch Name,Number of Ballots
Advance Voting,AV-Registrars Office ICP 1 - 0,3478
Absentee by Mail,ICC - Absentee By Mail - 1,34
Absentee by Mail,ICC - Absentee By Mail - 2,41
Absentee by Mail,ICC - Absentee By Mail - 3,45
Absentee by Mail,ICC - Absentee By Mail - 4,52
Election Day,ED-Cherry Log ICP 1 - 0,259
Election Day,ED-Town Creek ICP 1 - 0,256
Election Day,ED-Boardtown ICP 1 - 0,305
Election Day,ED-Ellijay Northeast ICP 1 - 0,326
Election Day,ED-Tails Creek ICP 1 - 0,320
Election Day,ED-Ellijay South ICP 1 - 0,369
Election Day,ED-Yukon ICP 1 - 0,329
Absentee by Mail,ICC - Absentee By Mail - 5,4
Election Day,ED-Cartecay ICP 1 - 0,390
Election Day,ED-Leaches ICP 1 - 0,508
Election Day,ED-East Ellijay ICP 1 - 0,292
Election Day,ED-Mountaintown ICP 1 - 0,258
Election Day,ED-Ellijay North ICP 1 - 0,236
Election Day,ED-Roy Road ICP 1 - 0,322
Provisional,ICC - Provisional - 1,3
