Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,8
Advance Voting,AV-Elections Office ICP 2 - 0,191
Election Day,ED-Georgetown ICP 1 - 0,202
Election Day,ED-Morris ICP 1 - 0,27
Absentee by Mail,Absentee By Mail ICC - 2,1
