Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ED-First Baptist Church of Pooler  ICP 1 - 0,118,38,4,9,1,148,1,4,9,26,7,11
ED-Woodlawn Baptist Church  ICP 1 - 0,48,7,0,9,2,68,0,6,2,15,6,7
ED-Burke Day Public Safety Bldg  ICP 1 - 0,157,58,5,25,7,69,0,8,14,30,1,26
ED-Savannah Tech Crossroads Campus ICP 1 - 0,46,9,3,5,2,146,3,5,7,37,6,9
ED-Rothwell Baptist Church  ICP 1 - 0,254,79,2,31,7,122,1,7,16,41,9,10
ED-St Thomas Episcopal Church  ICP 1 - 0,138,68,2,40,9,29,0,1,11,18,1,4
ED-Wilmington Island Pres Church  ICP 1 - 0,253,111,5,67,10,55,1,5,20,33,2,12
ED-First Baptist Church of Garden City  ICP 1 - 0,82,31,0,12,4,73,1,2,6,16,5,10
ED-Coastal Cathedral Mission Camp ICP 1 - 0,17,8,1,5,0,113,5,3,7,31,9,19
ED-First Presbyterian Church  ICP 1 - 0,151,71,7,66,7,203,10,17,81,258,13,27
ED-Skidaway Community Church  ICP 1 - 0,275,153,8,74,13,67,0,4,33,29,1,15
ED-Southside Fire Trng Ctr  ICP 1 - 0,145,79,2,28,4,80,2,4,20,23,3,8
ED-Islands High School Annex  ICP 1 - 0,147,54,3,35,7,54,5,5,13,25,4,15
ED-Jonesville Baptist Church  ICP 1 - 0,7,0,1,2,0,269,5,8,6,26,15,59
ED-Crusader Comm Center  ICP 1 - 0,100,46,2,29,3,179,3,6,12,43,11,17
ED-Progressive Rec Center  ICP 1 - 0,64,27,1,14,6,241,8,9,13,47,12,19
ED-JEA Building  ICP 1 - 0,91,40,1,22,4,106,3,12,29,112,3,16
ED-PB Edwards Gym  ICP 1 - 0,102,37,0,8,4,41,1,3,5,17,0,7
ED-Life Bridge Inner City Ministries ICP 1 - 0,46,16,2,8,3,43,0,6,4,21,3,13
ED-St. Paul's Episcopal Church ICP 1 - 0,17,14,0,8,5,92,1,6,11,83,13,10
ED-Coastal GA Botanical Gardens  ICP 1 - 0,82,47,4,24,6,286,7,14,22,61,21,36
ED-Salvation Army  ICP 1 - 0,21,14,3,16,3,276,11,16,24,98,18,44
ED-Rice Creek School  ICP 1 - 0,46,25,2,12,5,244,3,8,8,46,11,24
ED-New Generations Full Gospel Baptist Church ICP 1 - 0,36,13,2,7,4,165,6,6,7,46,11,19
ED-Butler Elementary  ICP 1 - 0,1,0,0,1,0,209,4,3,4,17,8,25
ED-Carver Village Comm Center ICP 1 - 0,0,0,0,0,0,196,4,2,1,8,5,32
ED-Christ Memorial Baptist Church  ICP 1 - 0,25,10,0,7,1,121,5,1,8,18,3,22
"ED-Compassion Christian, Henderson  ICP 1 - 0",74,32,3,22,3,142,4,1,6,35,3,16
ED-West Broad YMCA  ICP 1 - 0,1,1,0,0,0,63,3,1,0,5,6,17
ED-Butler Presbyterian Church  ICP 1 - 0,5,1,0,0,0,120,6,6,4,21,10,27
ED-Williams Court Apts  ICP 1 - 0,13,3,2,4,3,144,2,6,9,68,14,21
