Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail - 1,26
Advance Voting,AV-Elections Office - ICP 1 - 0,610
Election Day,ED-Jacksonville ICP 1 - 0,129
Election Day,ED-Milan ICP 1 - 0,177
Election Day,ED-Lumber-City ICP 1 - 0,174
Election Day,ED-McRae ICP 1 - 0,532
