Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,0,0,0,0,1,0,0,0,1,0,0,0
ICC-Absentee by Mail - 2,9,1,0,2,0,1,0,1,1,0,0,0
ICC-Absentee by Mail - 3,2,0,0,0,0,18,0,0,0,0,0,0
ICC-Absentee by Mail - 4,2,0,0,0,0,8,0,3,2,0,0,2
ICC-Absentee by Mail - 5,11,1,0,0,0,3,0,0,0,0,0,0
ICC-Absentee by Mail - 6,7,6,0,0,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 7,13,0,0,2,0,0,0,0,0,0,2,3
AV-Elections Office ICP 1 - 0,616,232,6,99,15,155,3,13,14,18,17,46
AV-East Glennville ICP 1 - 0,350,144,6,71,7,63,1,6,4,7,8,17
ICC-Absentee by Mail - 8,2,3,0,0,0,2,0,0,0,0,0,0
ED-District V ICP 1 - 0,136,44,0,14,5,5,0,0,0,1,0,0
ED-Cobbtown ICP 1 - 0,53,69,3,18,2,13,1,3,3,1,1,4
ED-Manassas ICP 1 - 0,48,21,0,9,0,17,0,1,2,1,1,2
ED-Collins ICP 1 - 0,96,82,1,26,5,33,3,1,0,1,3,2
ED-District II ICP 1 - 0,101,74,2,22,8,84,2,4,4,18,7,4
ED-East Glennville ICP 1 - 0,176,92,1,43,15,51,0,2,3,9,2,6
ED-District IV ICP 1 - 0,159,103,3,47,8,60,0,6,4,7,7,20
ICC-Provisional - 1,0,0,0,0,0,0,0,0,0,0,0,0
