Container,Batch Name,Number of Ballots
Advance Voting,AV-Central  ICP 1A - 0,267
Advance Voting,AV-Central  ICP 1B - 0,881
Advance Voting,AV-Kennesaw  ICP 1A - 0,1844
Advance Voting,AV-Kennesaw  ICP 1B - 0,568
Advance Voting,AV-Kennesaw  ICP 2A - 0,2706
Advance Voting,AV-Kennesaw  ICP 2B - 0,964
Advance Voting,AV-Main Office  ICP 1B - 0,5046
Advance Voting,AV-Main Office  ICP 1A - 0,2067
Advance Voting,AV-Main 2  ICP 1A - 0,723
Advance Voting,AV-Main 2  ICP 1B - 0,1535
Advance Voting,AV-Northeast  ICP 2A - 0,1688
Advance Voting,AV-Northeast  ICP 1A - 0,2847
Advance Voting,AV-Northeast  ICP 2B - 0,1639
Advance Voting,AV-Northeast  ICP 1B - 0,2838
Advance Voting,AV-Powder Springs ICP 1B - 0,4289
Advance Voting,AV-Powder Springs ICP 1A - 0,1066
Advance Voting,AV-Northwest  ICP 1A - 0,3046
Advance Voting,AV-South  ICP 1A - 0,5544
Advance Voting,AV-South  ICP 1B - 0,1111
Advance Voting,AV-West ICP 1A - 0,5227
Advance Voting,AV-West ICP 1B - 0,1856
Advance Voting,AV-Northwest  ICP 1B - 0,916
Advance Voting,AV-North  ICP 1A - 0,3277
Advance Voting,AV-North  ICP 1B - 0,1533
Advance Voting,AV-Mableton  ICP 1A - 0,1328
Advance Voting,AV-Mableton  ICP 1B - 0,1156
Advance Voting,AV-East ICP 1A - 0,3035
Advance Voting,AV-East ICP 1B - 0,5672
Advance Voting,AV-Southwest  ICP 1A - 0,2503
Advance Voting,AV-Southwest  ICP 1B - 0,353
Advance Voting,AV-Smyrna  ICP 1A - 0,300
Advance Voting,AV-Smyrna  ICP 2A - 0,527
Advance Voting,AV-Smyrna  ICP 1B - 0,4126
Advance Voting,AV-Smyrna  ICP 2B - 0,4170
Absentee by Mail,ICC-Absentee by Mail 1 - 196,1
Absentee by Mail,ICC-Absentee by Mail 1 - 194,1
Absentee by Mail,ICC-Absentee by Mail 1 - 197,2
Absentee by Mail,ICC-Absentee by Mail 1 - 195,3
Absentee by Mail,ICC-Absentee by Mail 1 - 99,4
Absentee by Mail,ICC-Absentee by Mail 1 - 193,1
Absentee by Mail,ICC-Absentee by Mail 1 - 191,2
Absentee by Mail,ICC-Absentee by Mail 1 - 190,3
Absentee by Mail,ICC-Absentee by Mail 1 - 192,2
Absentee by Mail,ICC-Absentee by Mail 1 - 198,3
Absentee by Mail,ICC-Absentee by Mail 1 - 204,1
Absentee by Mail,ICC-Absentee by Mail 1 - 205,1
Absentee by Mail,ICC-Absentee by Mail 1 - 202,1
Absentee by Mail,ICC-Absentee by Mail 1 - 203,2
Absentee by Mail,ICC-Absentee by Mail 1 - 199,3
Absentee by Mail,ICC-Absentee by Mail 1 - 200,2
Absentee by Mail,ICC-Absentee by Mail 1 - 19,1
Absentee by Mail,ICC-Absentee by Mail 1 - 20,1
Absentee by Mail,ICC-Absentee by Mail 1 - 201,2
Absentee by Mail,ICC-Absentee by Mail 1 - 2,7
Absentee by Mail,ICC-Absentee by Mail 1 - 189,2
Absentee by Mail,ICC-Absentee by Mail 1 - 176,4
Absentee by Mail,ICC-Absentee by Mail 1 - 177,4
Absentee by Mail,ICC-Absentee by Mail 1 - 178,9
Absentee by Mail,ICC-Absentee by Mail 1 - 179,15
Absentee by Mail,ICC-Absentee by Mail 1 - 175,6
Absentee by Mail,ICC-Absentee by Mail 1 - 172,2
Absentee by Mail,ICC-Absentee by Mail 1 - 174,2
Absentee by Mail,ICC-Absentee by Mail 1 - 173,4
Absentee by Mail,ICC-Absentee by Mail 1 - 18,6
Absentee by Mail,ICC-Absentee by Mail 1 - 186,5
Absentee by Mail,ICC-Absentee by Mail 1 - 180,9
Absentee by Mail,ICC-Absentee by Mail 1 - 187,5
Absentee by Mail,ICC-Absentee by Mail 1 - 188,5
Absentee by Mail,ICC-Absentee by Mail 1 - 185,8
Absentee by Mail,ICC-Absentee by Mail 1 - 182,1
Absentee by Mail,ICC-Absentee by Mail 1 - 206,1
Absentee by Mail,ICC-Absentee by Mail 1 - 184,2
Absentee by Mail,ICC-Absentee by Mail 1 - 181,5
Absentee by Mail,ICC-Absentee by Mail 1 - 183,8
Absentee by Mail,ICC-Absentee by Mail 1 - 232,1
Absentee by Mail,ICC-Absentee by Mail 1 - 23,10
Absentee by Mail,ICC-Absentee by Mail 1 - 207,5
Absentee by Mail,ICC-Absentee by Mail 1 - 231,4
Absentee by Mail,ICC-Absentee by Mail 1 - 230,3
Absentee by Mail,ICC-Absentee by Mail 1 - 226,1
