Container,Batch Name,Number of Ballots
Advance Voting,AV-Midway Park ICP 1 - 0,1479
Advance Voting,AV-Midway Park ICP 3 - 0,1470
Advance Voting,AV-Midway Park ICP 2 - 0,1480
Advance Voting,AV-Sharon Springs Park ICP 1 - 0,3214
Advance Voting,AV-Sharon Springs Park ICP 3 - 0,2437
Advance Voting,AV-Sharon Springs Park ICP 2 - 0,572
Advance Voting,AV-Hampton Park Lib ICP 1 - 0,871
Advance Voting,AV-Hampton Park Lib ICP 2 - 0,1340
Advance Voting,AV-Hampton Park Lib ICP 2.4 - 0,965
Advance Voting,AV-Hampton Park Lib ICP 3 - 0,146
Advance Voting,AV-Elections Office ICP 1 - 0,3110
Advance Voting,AV-Elections Office ICP 2 - 0,3202
Advance Voting,AV-Elections Office ICP 3 - 0,238
Advance Voting,AV-Elections Office ICP 4 - 0,6
Advance Voting,AV-Elections Office ICP 5 - 0,1054
Advance Voting,AV Elections Office ICP 3.6 - 0,1060
Absentee by Mail,ICC - Absentee By Mail 1 - 18,39
Absentee by Mail,ICC - Absentee By Mail 1 - 15,38
Absentee by Mail,ICC - Absentee By Mail 1 - 17,39
Absentee by Mail,ICC - Absentee By Mail 1 - 16,39
Absentee by Mail,ICC - Absentee By Mail 1 - 9,40
Absentee by Mail,ICC - Absentee By Mail 1 - 14,40
Absentee by Mail,ICC - Absentee By Mail 1 - 13,13
Absentee by Mail,ICC - Absentee By Mail 1 - 10,39
Absentee by Mail,ICC - Absentee By Mail 1 - 11,38
Absentee by Mail,ICC - Absentee By Mail 1 - 12,40
Absentee by Mail,ICC - Absentee By Mail 1 - 19,40
Absentee by Mail,ICC - Absentee By Mail 1 - 2,39
Absentee by Mail,ICC - Absentee By Mail 1 - 6,40
Absentee by Mail,ICC - Absentee By Mail 1 - 7,39
Absentee by Mail,ICC - Absentee By Mail 1 - 8,39
Absentee by Mail,ICC - Absentee By Mail 1 - 20,6
Absentee by Mail,ICC - Absentee By Mail 1 - 21,20
Absentee by Mail,ICC - Absentee By Mail 1 - 3,40
Absentee by Mail,ICC - Absentee By Mail 1 - 5,39
Absentee by Mail,ICC - Absentee By Mail 1 - 4,40
Absentee by Mail,ICC - Absentee By Mail 1 - 22,20
Absentee by Mail,ICC - Absentee By Mail 1 - 1,40
Election Day,ED-38 Daves Creek ICP 1 - 0,432
Election Day,ED-38 Daves Creek ICP 2 - 0,535
Election Day,ED-52 Hightower ICP 1 - 0,354
Election Day,ED-52 Hightower ICP 2 - 0,353
Election Day,ED-50 Browns Bridge ICP 1 - 0,390
Election Day,ED-50 Browns Bridge ICP 2 - 0,414
Election Day,ED-44 Lanier ICP 1 - 0,265
Election Day,ED-44 Lanier ICP 2 - 0,243
Election Day,ED-39 Mathis ICP 1 - 0,224
Election Day,ED-39 Mathis ICP 2 - 0,227
Election Day,ED-04 Chestatee ICP 1 - 0,294
Election Day,ED-04 Chestatee ICP 2 - 0,213
Election Day,ED-01 Big Creek ICP 1 - 0,344
Election Day,ED-01 Big Creek ICP 2 - 0,385
Election Day,ED-01 Big Creek ICP 3 - 0,388
Election Day,ED-53 Matt ICP 1 - 0,329
Election Day,ED-53 Matt ICP 2 - 0,330
Election Day,ED-45 Mountainside ICP 1 - 0,457
Election Day,ED-45 Mountainside ICP 2 - 0,257
Election Day,ED-46 Sawmill Branch ICP 1 - 0,280
Election Day,ED-46 Sawmill Branch ICP 2 - 0,285
Election Day,ED-43 Lakeland ICP 1 - 0,288
Election Day,ED-43 Lakeland ICP 2 - 0,361
Election Day,ED-15 Heardsville ICP 1 - 0,432
Election Day,ED-15 Heardsville ICP 2 - 0,469
Election Day,ED-02 Brandywine ICP 1 - 0,320
Election Day,ED-02 Brandywine ICP 2 - 0,348
Election Day,ED-21 South Forsyth ICP 1 - 0,143
Election Day,ED-21 South Forsyth ICP 2 - 0,180
Election Day,ED-41 Grassland ICP 1 - 0,239
Election Day,ED-41 Grassland ICP 2 - 0,221
Election Day,ED-08 Mashburn ICP 1 - 0,629
Election Day,ED-08 Mashburn ICP 2 - 0,237
Election Day,ED-47 Riverclub ICP 1 - 0,295
Election Day,ED-47 Riverclub ICP 2 - 0,306
Election Day,ED-40 West Forsyth ICP 1 - 0,429
Election Day,ED-40 West Forsyth ICP 2 - 0,418
Election Day,ED-34 Fowler ICP 1 - 0,369
Election Day,ED-34 Fowler ICP 2 - 0,318
Election Day,ED-49 Cheatam Creek ICP 1 - 0,256
Election Day,ED-49 Cheatam Creek ICP 2 - 0,207
Election Day,ED-06 Crossroads ICP 1 - 0,468
Election Day,ED-06 Crossroads ICP 2 - 0,356
Election Day,ED-16 Otwell ICP 1 - 0,233
Election Day,ED-16 Otwell ICP 2 - 0,332
Election Day,ED-19 Old Atlanta ICP 1 - 0,241
Election Day,ED-19 Old Atlanta ICP 2 - 0,334
Election Day,ED-36 Nichols ICP 1 - 0,392
Election Day,ED-36 Nichols ICP 2 - 0,442
Election Day,ED-25 Windermere ICP 3 - 0,455
Election Day,ED-25 Windermere ICP 2 - 0,396
Election Day,ED-25 Windermere ICP 1 - 0,201
Election Day,ED-07 Cumming ICP 1 - 0,418
Election Day,ED-07 Cumming ICP 2 - 0,391
Election Day,ED-07 Cumming ICP 3 - 0,325
Absentee by Mail,ICC - Absentee By Mail 1 - 25,1
Absentee by Mail,ICC - Absentee By Mail 1 - 24,40
Absentee by Mail,ICC - Absentee By Mail 1 - 23,33
Election Day,ED-05 Coal Mountain ICP 2 - 0,212
Election Day,ED-35 Johns Creek ICP 2 - 0,431
Election Day,ED-10 Midway ICP 1 - 0,595
Election Day,ED-10 Midway ICP 2 - 0,567
Election Day,ICC - Election Day - 9,5
Election Day,ICC - Election Day - 20,17
Election Day,ICC - Election Day - 2,50
Election Day,ICC - Election Day - 19,50
Election Day,ICC - Election Day - 21,14
Election Day,ICC - Election Day - 22,50
Election Day,ICC - Election Day - 24,50
Election Day,ICC - Election Day - 23,50
Election Day,ICC - Election Day - 18,50
Election Day,ICC - Election Day - 17,50
Election Day,ICC - Election Day - 11,50
Election Day,ICC - Election Day - 10,50
Election Day,ICC - Election Day - 12,50
Election Day,ICC - Election Day - 13,50
Election Day,ICC - Election Day - 14,31
Election Day,ICC - Election Day - 16,50
Election Day,ICC - Election Day - 15,50
Election Day,ICC - Election Day - 25,50
Election Day,ICC - Election Day - 26,50
Election Day,ICC - Election Day - 36,22
Election Day,ICC - Election Day - 35,50
Election Day,ICC - Election Day - 4,50
Election Day,ICC - Election Day - 5,25
Election Day,ICC - Election Day - 6,37
Election Day,ICC - Election Day - 8,49
Election Day,ICC - Election Day - 7,39
Election Day,ICC - Election Day - 34,50
Election Day,ICC - Election Day - 33,5
Election Day,ICC - Election Day - 28,9
Election Day,ICC - Election Day - 27,50
Election Day,ICC - Election Day - 29,10
Election Day,ICC - Election Day - 3,50
Election Day,ICC - Election Day - 30,50
Election Day,ICC - Election Day - 32,33
Election Day,ICC - Election Day - 31,50
Election Day,ICC - Election Day - 1,50
Absentee by Mail,ICC - Absentee By Mail 1 - 26,1
Provisional,ICC - Provisional 1 - 1,23
Provisional,ICC - Provisional 1 - 2,36
