Container,Batch Name,Number of Ballots
Election Day,ED-Cuthbert-Courthouse ICP 1 - 0,296
Advance Voting,AV-Elections Office ICP 1 - 0,489
Election Day,ED-Cuthbert ICP 1 - 0,44
Election Day,ED-Springvale ICP 1 - 0,36
Absentee by Mail,Absentee By Mail ICC - 1,17
Absentee by Mail,Absentee By Mail ICC - 2,8
Election Day,ED-Coleman ICP 1 - 0,44
Absentee by Mail,Absentee By Mail ICC - 3,2
Absentee by Mail,Absentee By Mail ICC - 4,1
Absentee by Mail,Absentee By Mail ICC - 5,2
Election Day,ED-Shellman ICP 1 - 0,192
Absentee by Mail,Absentee By Mail ICC - 6,3
Absentee by Mail,Absentee By Mail ICC - 7,1
Election Day,ED-Benevolence ICP 1 - 0,49
Absentee by Mail,Absentee By Mail ICC - 8,1
Absentee by Mail,Absentee By Mail ICC - 9,2
