Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Murray Co Rec Center ICP 2 - 0,134,419,4,171,18,49,1,5,32,13,7,7
AV-Murray Co Rec Center ICP 1 - 0,125,411,8,200,14,49,0,4,28,19,3,9
ED-Spring Place ICP 1 - 0,41,221,6,131,6,33,1,0,5,13,5,4
ED-Southwest ICP 1 - 0,55,209,5,99,19,20,0,6,8,5,2,4
ED-Shuck Pen ICP 1 - 0,57,238,3,75,8,15,0,1,5,11,4,2
ED-Carters-Doolittle ICP 1 - 0,42,128,3,63,9,17,0,1,4,7,1,6
ED-North ICP 1 - 0,47,157,3,56,11,11,2,0,7,3,0,3
ED-McDonald ICP 1 - 0,36,133,2,58,5,9,0,1,4,5,0,5
ED-Town ICP 1 & 2 - 0,75,308,8,170,10,40,1,6,8,23,4,5
ICC - Absentee By Mail - 3,5,6,0,1,0,5,0,0,2,2,0,0
ICC - Absentee By Mail - 1,3,10,0,8,0,7,0,0,3,1,1,1
ICC - Provisional - 1,0,1,0,0,0,0,0,0,0,0,0,0
