Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Precinct on Main ICP 2 - 0,168,329,7,200,12,298,3,9,26,19,39,145
AV-Precinct on Main ICP 1 - 0,39,64,0,36,5,52,1,1,0,8,12,62
AV-Dearing Comm Center ICP 1 - 0,68,121,5,42,11,78,3,6,13,1,8,15
ED-NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 1 - 0,152,279,2,153,8,275,4,6,11,24,31,116
ED-NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 2 - 0,26,56,3,50,6,55,0,2,3,8,4,29
ED-Dearing-Fort Creek ICP 1 - 0,76,147,9,68,13,41,1,4,9,9,3,13
ICC-Absentee by Mail - 5,1,2,0,3,0,2,0,0,0,2,0,14
ICC-Absentee by Mail - 4,2,1,0,1,0,9,0,0,2,0,0,9
ICC-Absentee by Mail - 6,1,4,0,2,0,6,0,1,1,1,0,7
ICC-Absentee by Mail - 2,1,1,1,3,0,0,0,0,0,1,2,4
ICC-Absentee by Mail - 3,4,4,0,7,0,2,0,0,0,0,2,5
ICC-Absentee by Mail - 1,2,3,0,1,0,7,0,0,0,1,2,9
