Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 2,6,4,0,3,1,7,0,0,3,0,0,1
ICC-Absentee by Mail - 5,2,4,0,1,1,12,0,1,2,0,0,0
ICC-Absentee by Mail - 9,4,5,1,0,0,10,0,0,3,0,0,1
ICC-Absentee by Mail - 4,1,5,0,2,0,14,0,0,0,0,0,3
ICC-Absentee by Mail - 7,1,1,0,0,0,14,0,0,3,1,0,4
ICC-Absentee by Mail - 8,4,2,0,4,0,8,0,0,1,1,1,4
ICC-Absentee by Mail - 6,7,1,0,3,1,6,0,0,4,0,0,3
ICC-Absentee by Mail - 1,0,0,0,1,1,6,0,0,0,1,2,3
AV-Elections Office ICP 1 - 0,292,177,10,92,18,822,24,58,161,123,55,138
AV-SSSI ICP 1 - 0,1241,666,25,393,71,309,8,43,326,125,12,61
AV-BAL ICP 1 - 0,1017,525,12,153,42,534,18,45,76,77,34,73
ICC-Absentee by Mail - 11,7,0,0,2,0,8,0,0,2,1,0,2
ICC-Absentee by Mail - 14,5,3,0,2,0,7,2,0,3,1,0,0
ICC-Absentee by Mail - 13,8,1,0,3,1,9,0,0,0,2,1,0
ICC-Absentee by Mail - 12,6,2,0,1,0,6,0,0,2,0,0,7
ICC-Absentee by Mail - 15,6,4,0,1,0,11,0,0,3,0,0,0
ICC-Absentee by Mail - 10,7,2,1,5,0,1,0,0,2,0,1,6
ICC-Absentee by Mail - 17,0,2,0,0,0,6,1,0,0,0,0,0
ICC-Absentee by Mail - 16,1,3,0,1,0,5,0,0,2,0,0,0
ICC-Absentee by Mail - 18,0,4,0,2,1,14,0,1,1,0,0,2
ED-BWKC ICP 1 - 0,7,1,0,0,0,103,4,5,10,9,5,25
ED-BLY ICP 1 - 0,102,88,1,30,8,18,0,6,1,7,0,4
ED-JI ICP 1 - 0,66,33,1,46,5,27,0,1,18,23,3,4
ED-SSIC ICP 1 - 0,337,176,3,141,16,62,2,13,33,13,3,12
ED-BWKS ICP 1 - 0,76,31,1,20,3,105,0,11,27,41,8,20
ED-BWKN ICP 1 - 0,47,20,0,18,6,73,5,3,8,10,6,11
ED-SSIN ICP 1 - 0,291,152,6,96,28,52,2,8,37,43,3,9
ED-NGLYN ICP 1 - 0,255,159,8,84,19,100,2,10,13,35,9,11
ED-EGLYN ICP 1 - 0,105,74,1,23,7,195,10,11,14,25,13,16
ED-CGLYN ICP 1 - 0,314,160,10,42,19,136,2,15,22,32,12,18
ED-SSIS ICP 1 - 0,176,117,2,78,9,43,2,2,35,19,2,5
ED-WGLYN ICP 1 - 0,189,113,1,29,6,84,0,11,8,21,6,13
ED-BAL ICP 1 - 0,149,70,0,23,5,117,2,11,7,24,6,15
ED-SGLYN ICP 1 - 0,326,229,3,74,13,142,5,8,23,26,10,13
ICC-Provisional - 1,2,3,1,2,0,8,0,1,0,1,0,0
ICC - Absentee by Mail 2 - 1,0,0,0,2,0,0,1,0,0,0,0,0
