Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,133,365,3,98,5,750,12,25,36,57,71,201
ICC-Absentee by Mail - 5,0,0,0,0,0,2,0,0,1,0,0,4
ICC-Absentee by Mail - 4,3,3,0,2,2,13,0,0,0,4,1,5
ICC-Absentee by Mail - 1,2,2,0,0,0,18,0,0,0,2,0,32
ICC-Absentee by Mail - 2,2,2,0,3,0,24,1,2,0,4,2,22
ICC-Absentee by Mail - 3,4,6,0,2,1,21,0,1,1,1,2,8
ED-Riddleville ICP 1 - 0,11,43,1,15,1,23,0,4,2,3,11,8
ED-Tennille ICP 1 - 0,26,76,0,18,3,199,1,6,7,18,19,55
ED-Sandersville ICP 1 - 0,26,90,0,24,2,195,2,6,11,25,28,63
ED-Sandersville ICP 2 - 0,22,77,1,32,0,183,4,4,11,16,21,47
ED-Oconee ICP 1 - 0,21,39,1,4,2,39,1,3,1,3,4,13
ED-Warthen ICP 1 - 0,18,53,0,13,2,41,0,2,3,6,10,16
ED-Harrison ICP 1 - 0,26,52,2,26,1,60,1,5,5,5,4,6
ED-Deepstep ICP 1 - 0,21,67,0,27,3,19,0,0,4,3,2,11
ED-Davisboro ICP 1 - 0,17,35,1,16,4,56,0,1,7,0,12,20
ICC-Provisional - 2,0,0,0,0,0,0,0,0,0,0,1,0
ICC-Provisional - 1,0,0,0,0,0,2,0,0,1,0,0,0
