Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 2 - 0,871
Election Day,ED-Annex Red ICP 1 - 0,121
Election Day,ED-City Hall ICP 1 - 0,98
Election Day,ED-Tibet ICP 1 - 0,120
Election Day,ED-Marcus ICP 1 - 0,194
Election Day,ED-Alma ICP 1 - 0,53
Election Day,ED-Annex Blue ICP 1 - 0,184
Election Day,ED-Darwell ICP 1 - 0,433
Absentee by Mail,ICC-Absentee by Mail - 1,10
Absentee by Mail,ICC-Absentee by Mail - 2,10
Absentee by Mail,ICC-Absentee by Mail - 3,8
Absentee by Mail,ICC-Absentee by Mail - 4,1
