Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 2 - 0,1839
Advance Voting,AV-Elections Office ICP 1 - 0,1812
Absentee by Mail,ICC - Absentee By Mail - 1,95
Absentee by Mail,ICC - Absentee By Mail - 4,2
Absentee by Mail,ICC - Absentee By Mail - 2,4
Absentee by Mail,ICC - Absentee By Mail - 3,40
Election Day,ED-West-Central ICP 1 - 0,719
Election Day,ED-West-Central ICP 2 - 0,672
Election Day,ED-East-South ICP 1 - 0,834
Election Day,ED-East-South ICP 2 - 0,588
Provisional,ICC - Provisional - 1,6
