Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,1120
Advance Voting,AV-Location 1 ICP 2 - 0,1792
Absentee by Mail,ICC-Absentee by Mail - 1,6
Absentee by Mail,ICC-Absentee by Mail - 2,14
Absentee by Mail,ICC-Absentee by Mail - 3,22
Absentee by Mail,ICC-Absentee by Mail - 4,17
Absentee by Mail,ICC-Absentee by Mail - 5,5
Election Day,Ed-Fort Valley 1 ICP 3 - 0,333
Election Day,ED-Byron ICP 1 - 0,1171
Election Day,Ed-Fort Valley 3 ICP 3 - 0,332
Election Day,ED-Fort Valley 2 ICP 1 - 0,335
Absentee by Mail,ICC-Absentee by Mail - 6,1
Provisional,ICC-Provisional - 1,2
