Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,0,0,0,0,0,0,0,0,0,0,0,0
AV-Elections Office ICP 2 - 0,33,69,1,32,7,21,0,0,10,2,1,4
AV-Elections Office ICP 3 - 0,196,586,6,392,23,186,3,6,45,42,7,84
AV-Elections Office ICP 1 - 0,205,504,8,287,23,144,1,6,67,42,8,60
ICC-Absentee by Mail - 2,0,0,0,0,0,20,0,0,2,3,2,23
ICC-Absentee by Mail - 3,9,29,0,6,0,3,0,0,1,0,0,1
ICC-Absentee by Mail - 4,5,5,0,3,0,0,0,0,0,0,0,0
ED-Union Point ICP 1 - 0,29,60,1,46,1,140,2,4,5,9,10,33
"ED-Siloam, White Plains ICP 1 - 0",24,69,0,39,2,90,2,2,4,11,3,31
ED-Greensboro ICP 1 - 0,51,124,2,90,7,220,5,2,10,23,11,65
ED-Old Salem ICP 1 - 0,231,608,6,467,19,92,1,7,50,28,8,9
