Container,Batch Name,Number of Ballots
Advance Voting,AV-G3  ICP 3 - 0,1615
Advance Voting,AV-G3  ICP 2 - 0,3142
Advance Voting,AV-G3  ICP 1 - 0,2937
Advance Voting,AV-CCBOE-Support Complex  ICP 2 - 0,1193
Advance Voting,AV-CCBOE-Support Complex  ICP 1 - 0,1177
Advance Voting,AV-Former Euchee Creek Library  ICP 1 - 0,1587
Advance Voting,AV-Former Euchee Creek Library  ICP 3 - 0,1081
Advance Voting,AV-Former Euchee Creek Library  ICP 2 - 0,1429
Election Day,ED-Columbia Co Health Dept  ICP 1 - 0,428
Election Day,ED-Harlem Branch Library  ICP 1 - 0,489
Absentee by Mail,ICC-Absentee by Mail 3 - 13,12
Absentee by Mail,ICC-Absentee by Mail 3 - 12,8
Absentee by Mail,ICC-Absentee by Mail 3 - 14,13
Absentee by Mail,ICC-Absentee by Mail 3 - 15,50
Absentee by Mail,ICC-Absentee by Mail 3 - 10,50
Absentee by Mail,ICC-Absentee by Mail 3 - 11,50
Absentee by Mail,ICC-Absentee by Mail 3 - 16,50
Absentee by Mail,ICC-Absentee by Mail 3 - 2,50
Absentee by Mail,ICC-Absentee by Mail 3 - 17,40
Absentee by Mail,ICC-Absentee by Mail 3 - 6,24
Absentee by Mail,ICC-Absentee by Mail 3 - 7,50
Absentee by Mail,ICC-Absentee by Mail 3 - 3,50
Absentee by Mail,ICC-Absentee by Mail 3 - 8,50
Absentee by Mail,ICC-Absentee by Mail 3 - 5,50
Absentee by Mail,ICC-Absentee by Mail 3 - 4,50
Absentee by Mail,ICC-Absentee by Mail 3 - 1,50
Election Day,ED-Woodlawn Bapt Church  ICP 1 - 0,289
Election Day,ED-Damascus Bapt Church  ICP 1 - 0,297
Election Day,ED-Stevens Creek Church  ICP 1 - 0,675
Election Day,ED-Christ The King Church  ICP 1 - 0,339
Election Day,ED-Stevens Creek Church - Grovetown  ICP 1 - 0,314
Election Day,ED-Grovetown Methodist  ICP 1 - 0,428
Election Day,ED-Christ Church Presbyterian  ICP 1 - 0,632
Election Day,ED-G A Apostolic Church  ICP 1 - 0,380
Election Day,ED-Grovetown Branch Library  ICP 1 - 0,241
Election Day,ED-CCBOE-Support Complex  ICP 1 - 0,446
Election Day,ED-Kiokee Bapt Church  ICP 1 - 0,690
Election Day,ED-Macedonia Church ICP 1 - 0,199
Election Day,ED-Patriots Park  ICP 1 - 0,331
Election Day,ED-Belair Baptist Church  ICP 1 - 0,429
Election Day,ED-Col Cty Board of Edu  ICP 1 - 0,301
Election Day,ED-Col Cty Main Library  ICP 1 - 0,293
Election Day,ED-New Life Church  ICP 1 - 0,117
Election Day,ED-Eubank-Blanchard Ctr  ICP 1 - 0,349
Election Day,ED-Second Mt. Carmel Baptist Church  ICP 1 - 0,195
Election Day,ED-Gospel Water Branch  ICP 1 - 0,656
Election Day,ED-Church of Our Savior  ICP 1 - 0,338
Election Day,ED-Wesley Methodist  ICP 1 - 0,352
Election Day,ED-Westminster Presb Church  ICP 1 - 0,411
Election Day,ED-Abilene Baptist  ICP 1 - 0,516
Election Day,ED-West Acres Baptist  ICP 1 - 0,375
Election Day,ED-Trinity Bapt Church  ICP 1 - 0,527
Election Day,ED-Columbia Co Fire HDQTR  ICP 1 - 0,297
Election Day,ED-Martinez Baptist  ICP 2 - 0,483
Election Day,ED-Harlem Senior Center  ICP 2 - 0,424
Election Day,ED-Harlem Senior Center  ICP 1 - 0,260
Election Day,ED-Grovetown Dept of Public Safety Station #2  ICP 1 - 0,309
Election Day,ED-Journey Comm Church  ICP 1 - 0,505
Election Day,ED-Grace Baptist Church  ICP 1 - 0,1135
Election Day,ED-Liberty Park-Grovetown  ICP 1 - 0,536
Election Day,ED-Liberty Park-Grovetown  ICP 2 - 0,107
Election Day,ED-Former Euchee Creek Library  ICP 1 - 0,49
Election Day,ED-Former Euchee Creek Library  ICP 2 - 0,748
Election Day,ED-Christ Sanctified  ICP 2 - 0,158
Election Day,ED-Christ Sanctified  ICP 1 - 0,387
Absentee by Mail,ICC-Absentee by Mail 3 - 9,50
Election Day,ED-Parkway Elem School  ICP 2 - 0,432
Election Day,ED-Parkway Elem School  ICP 1 - 0,544
Election Day,ICC-Election Day - 1,62
Election Day,ICC-Election Day - 2,79
Election Day,ICC-Election Day - 3,45
Election Day,ICC-Election Day - 4,41
Election Day,ICC-Election Day - 5,34
Election Day,ICC-Election Day - 6,72
Election Day,ICC-Election Day - 7,53
Election Day,ICC-Election Day - 8,58
Election Day,ICC-Election Day - 9,60
Election Day,ICC-Election Day - 10,54
Election Day,ICC-Election Day - 11,55
Election Day,ICC-Election Day - 12,44
Election Day,ICC-Election Day - 13,49
Election Day,ICC-Election Day - 14,1
Absentee by Mail,ICC-Absentee by Mail 1 - 1,4
Provisional,ICC-Provisional - 1,25
