Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,243,1081,9,297,63,809,3,23,96,90,19,73
ED-Pine Mountain Valley ICP 1 - 0,26,170,3,31,4,13,0,0,1,3,1,0
ED-Skinner ICP 1 - 0,12,73,0,31,3,64,4,5,6,7,0,9
ED-Lower 19th ICP 1 - 0,52,279,9,101,11,59,1,6,12,16,0,3
ED-Ellerslie ICP 1 - 0,65,343,9,123,26,177,2,11,21,21,8,16
ED-Cataula ICP 1 - 0,49,243,1,70,18,94,1,7,12,10,7,7
ED-Mulberry Grove ICP 1 - 0,54,288,2,68,13,82,3,3,12,28,3,11
ED-Whitesville ICP 1 - 0,44,138,2,55,8,42,0,4,14,1,1,8
ED-Goodman ICP 1 - 0,32,137,3,40,13,75,1,2,16,14,1,11
ED-Valley Plains ICP 1 - 0,18,90,1,17,3,37,0,3,1,9,3,12
ED-Upper 19th ICP 1 - 0,40,185,2,51,17,32,1,1,5,12,1,3
ED-Waverly Hall ICP 1 - 0,52,257,5,68,5,130,2,6,12,18,6,9
ED-Hamilton ICP 1 - 0,32,147,5,36,6,79,3,1,7,17,2,10
ICC-Absentee by Mail - 1,1,4,0,0,0,3,0,0,0,0,0,0
ICC-Absentee by Mail - 2,0,8,0,3,0,6,0,0,2,4,0,2
ICC-Absentee by Mail - 3,5,8,0,0,0,7,0,0,3,0,0,2
ICC-Absentee by Mail - 4,2,11,0,3,0,7,0,0,0,0,0,0
ICC-Absentee by Mail - 5,2,8,0,4,0,11,0,0,0,0,0,0
ICC-Absentee by Mail - 6,3,3,0,4,2,7,0,0,1,1,0,0
ICC-Absentee by Mail - 7,2,6,0,1,0,10,0,0,3,0,0,3
ICC-Absentee by Mail - 8,3,7,0,3,0,6,0,0,1,2,0,4
ICC-Absentee by Mail - 9,0,2,0,1,1,1,0,0,1,0,0,0
ICC-Provisional - 1,2,6,0,0,2,1,0,0,0,2,0,1
ICC-Provisional - 2,0,0,0,0,0,1,0,0,0,0,0,0
