Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,1883
Absentee by Mail,ICC-Absentee by Mail - 5,7
Absentee by Mail,ICC-Absentee by Mail - 4,33
Absentee by Mail,ICC-Absentee by Mail - 1,56
Absentee by Mail,ICC-Absentee by Mail - 2,62
Absentee by Mail,ICC-Absentee by Mail - 3,52
Election Day,ED-Riddleville ICP 1 - 0,150
Election Day,ED-Tennille ICP 1 - 0,467
Election Day,ED-Sandersville ICP 1 - 0,520
Election Day,ED-Sandersville ICP 2 - 0,462
Election Day,ED-Oconee ICP 1 - 0,150
Election Day,ED-Warthen ICP 1 - 0,188
Election Day,ED-Harrison ICP 1 - 0,197
Election Day,ED-Deepstep ICP 1 - 0,172
Election Day,ED-Davisboro ICP 1 - 0,194
Provisional,ICC-Provisional - 2,1
Provisional,ICC-Provisional - 1,3
