Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 1 - 0,570,848,12,277,39,783,13,23,64,61,72,271
ICC-Absentee by Mail - 6,1,1,0,0,0,1,0,0,0,0,0,1
ICC-Absentee by Mail - 4,0,2,0,0,0,21,0,0,5,0,1,20
ICC-Absentee by Mail - 5,2,2,0,0,0,29,0,1,0,0,0,13
ICC-Absentee by Mail - 3,22,21,0,6,0,0,0,0,1,0,0,0
ICC-Absentee by Mail - 2,12,25,0,11,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 1,0,0,0,0,0,22,0,0,3,1,1,20
ED-Smith 2 ICP 1 - 0,65,110,1,33,2,150,2,3,4,15,15,36
ED-Reedy Springs ICP 1 - 0,95,151,2,47,3,26,0,1,0,9,7,6
ED-Minter ICP 1 - 0,43,90,0,35,4,4,0,0,0,1,0,5
ED-Buckeye ICP 1 - 0,30,59,2,21,4,66,0,0,5,8,4,14
ED-Brewton ICP 1 - 0,66,131,2,40,11,34,2,3,1,2,4,16
ED-LCFS 10 (Valambrosia) ICP 1 - 0,52,133,2,49,8,75,1,4,5,10,7,34
ED-Dudley ICP 1 - 0,72,141,0,72,5,75,1,3,10,5,6,15
ED-Fire Dept Station 5 ICP 1 - 0,108,243,2,123,9,120,3,0,3,18,10,23
ED-Rural Fire Station #17 ICP 1 - 0,83,158,2,58,5,48,1,1,11,6,4,20
ED-Hampton Mill ICP 1 - 0,88,191,0,70,6,34,1,2,1,6,3,7
ED-W T Adams Fire Station 18 ICP 1 - 0,77,170,1,44,7,58,0,1,3,8,9,24
ED-Burch ICP 1 - 0,29,51,0,17,2,12,0,0,1,2,0,1
ED-Calhoun Park ICP 1 - 0,83,130,6,68,10,274,5,13,20,38,32,83
ED-Calhoun Park ICP 2 - 0,44,49,2,23,4,135,4,3,5,14,12,42
ICC-Provisional - 1,0,2,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,
,,,,,,,,,,,,
