Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,25
Absentee by Mail,ICC-Absentee by Mail - 2,2
Advance Voting,AV-Elections Office ICP 1 - 0,800
Election Day,ED-Wrightsville ICP 1 - 0,352
Election Day,ED-Kite ICP 1 - 0,231
Election Day,ED-Bray ICP 1 - 0,151
Election Day,ED-Smith ICP 1 - 0,140
