Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
AV-Elections Office ICP 2 - 0,483,888,25,589,55,195,0,15,92,101,9,33
ICC - Absentee By Mail - 1,6,11,0,5,2,1,0,0,0,0,0,0
ICC - Absentee By Mail - 2,5,9,0,3,0,4,0,0,0,1,1,0
ICC - Absentee By Mail - 3,4,10,0,2,0,3,0,0,3,1,0,1
ICC - Absentee By Mail - 4,5,5,1,5,1,3,0,2,3,0,0,0
ICC - Absentee By Mail - 5,1,6,2,7,0,5,0,0,4,0,0,0
ICC - Absentee By Mail - 6,8,8,0,4,2,0,0,0,0,0,0,0
ICC - Absentee By Mail - 7,6,12,0,3,2,0,0,0,0,1,0,0
ICC - Absentee By Mail - 8,0,2,0,0,1,2,0,0,0,2,0,0
ED-Colwell ICP 1 - 0,56,103,1,52,9,14,1,1,1,1,1,0
ED-Flinthill ICP 1 - 0,120,197,2,149,15,17,0,4,6,9,0,3
ED-Hemptown ICP 1 - 0,82,94,3,70,9,14,0,2,7,12,2,2
ED-Hothouse ICP 1 - 0,50,89,1,36,7,7,0,0,2,1,1,1
ED-Morganton ICP 1 - 0,98,154,0,123,14,19,0,2,5,7,0,2
ED-Skeniah ICP 1 - 0,8,28,0,24,0,5,0,0,4,1,0,0
ED-Mobile ICP 1 - 0,46,88,0,51,10,13,0,2,2,0,0,1
ED-Sugar Creek ICP 1 - 0,78,92,1,77,8,21,0,0,13,3,2,1
ED-Noontootla ICP 1 - 0,48,78,1,84,1,12,0,2,6,5,0,1
ED-Toccoa ICP 1 - 0,87,178,7,119,11,28,0,3,9,9,0,1
ED-Mineral Bluff ICP 1 - 0,91,129,2,95,6,11,0,4,6,8,0,1
ICC - Election Day - 1,12,16,0,17,2,3,0,0,0,0,0,0
ICC - Election Day - 2,14,19,0,6,2,2,0,0,1,2,0,0
ICC - Election Day - 3,8,7,0,4,1,1,0,0,2,0,0,0
ICC - Election Day - 4,5,11,0,4,2,3,0,0,0,0,0,0
ICC - Election Day - 5,2,10,1,4,1,0,0,0,1,1,0,0
ICC - Election Day - 6,8,9,0,6,1,1,0,0,0,0,0,0
ICC - Election Day - 7,1,2,0,0,0,0,0,0,0,0,0,0
ICC - Provisional - 1,2,1,0,0,0,2,0,0,0,0,0,0
