Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,2,3,0,1,2,8,0,0,1,2,0,1
ICC-Absentee by Mail - 2,3,4,0,2,1,4,0,0,1,1,0,4
ICC-Absentee by Mail - 3,1,1,1,5,1,6,0,0,3,1,0,1
ICC-Absentee by Mail - 4,2,2,0,2,0,6,0,0,2,0,2,2
ICC-Absentee by Mail - 5,1,3,0,0,1,6,0,0,2,4,0,2
ICC-Absentee by Mail - 6,2,2,0,2,1,7,0,0,1,3,1,0
ICC-Absentee by Mail - 7,2,6,0,0,0,7,0,0,0,0,0,4
ICC-Absentee by Mail - 8,3,1,0,1,1,8,0,0,1,0,1,3
ICC-Absentee by Mail - 9,3,4,0,1,1,5,0,0,0,3,0,2
ICC-Absentee by Mail - 10,4,1,0,2,0,9,0,0,1,1,0,2
ICC-Absentee by Mail - 11,0,0,0,0,0,0,0,0,0,0,0,0
ICC-Absentee by Mail - 12,0,7,0,0,0,4,0,0,5,2,0,2
ICC-Absentee by Mail - 13,1,4,1,4,0,4,0,0,2,1,0,3
ICC-Absentee by Mail - 14,0,5,0,3,0,4,0,0,2,4,0,2
ICC-Absentee by Mail - 15,4,4,0,5,0,3,0,0,0,0,1,1
ICC-Absentee by Mail - 16,1,7,0,0,0,8,0,1,1,0,0,0
ICC-Absentee by Mail - 17,8,1,0,4,0,4,0,0,0,0,0,2
ICC-Absentee by Mail - 18,3,3,0,4,0,4,0,0,2,1,1,1
ICC-Absentee by Mail - 19,3,1,0,6,0,3,0,0,1,0,0,6
ICC-Absentee by Mail - 20,0,7,0,3,0,4,1,0,2,1,0,2
ICC-Absentee by Mail - 21,5,7,0,3,0,4,0,0,1,0,0,0
ICC-Absentee by Mail - 22,0,1,0,0,1,5,0,0,1,0,0,0
AV-Tyrone ICP 1 - 0,266,522,10,396,36,725,20,11,128,171,97,156
AV-Fayette Library ICP 1 - 0,112,238,6,204,20,857,20,13,107,154,46,213
