Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,939
Absentee by Mail,ICC-Absentee by Mail - 1,5
Absentee by Mail,ICC-Absentee by Mail - 2,7
Absentee by Mail,ICC-Absentee by Mail - 3,17
Absentee by Mail,ICC-Absentee by Mail - 4,38
Absentee by Mail,ICC-Absentee by Mail - 5,13
Election Day,ED-Oglethorpe ICP 1 - 0,164
Election Day,ED-Montezuma 4 ICP 1 - 0,193
Election Day,ED-Montezuma 5 ICP 1 - 0,172
Election Day,ED-Marshallville ICP 1 - 0,268
Election Day,ED-Ideal ICP 1 - 0,219
