Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,4,2,0,4,0,23,2,0,4,3,0,2
ICC-Absentee by Mail - 2,5,1,0,2,3,19,0,1,3,1,0,10
ICC-Absentee by Mail - 3,5,0,0,5,0,22,2,0,1,0,2,10
ICC-Absentee by Mail - 4,3,0,0,0,0,17,0,0,3,7,0,11
ICC-Absentee by Mail - 5,5,9,0,5,3,16,0,0,1,2,0,2
ICC-Absentee by Mail - 6,0,0,0,0,0,1,0,0,0,1,0,0
ICC-Absentee by Mail - 7,4,4,2,3,1,39,0,0,5,1,0,11
ICC-Absentee by Mail - 8,5,11,1,3,0,22,0,1,12,6,0,9
AV-Main ICP 5 - 0,228,244,6,326,22,1599,16,25,122,132,39,642
AV-Main ICP 1 - 0,72,130,7,129,15,1618,18,20,105,223,27,539
AV-Main ICP 3 - 0,85,109,1,162,11,1632,17,21,118,192,32,516
AV-Main ICP 4 - 0,94,130,2,150,12,1578,23,24,80,237,39,545
AV-Main ICP 2 - 0,4,4,0,12,1,195,1,1,4,39,3,71
ICC-Absentee by Mail - 9,3,5,0,0,1,4,0,0,0,0,0,4
ED-FI ICP 1 - 0,3,22,0,22,3,429,4,5,21,65,6,89
ED-CO ICP 1 - 0,8,7,1,23,3,195,5,2,6,23,4,38
ED-LA ICP 1 - 0,14,9,1,25,2,112,5,5,7,34,3,38
ED-ST ICP 1 - 0,22,44,3,45,2,171,4,5,11,37,5,63
ED-SM ICP 1 - 0,31,32,1,48,5,336,8,9,10,46,9,121
ED-BT ICP 1 - 0,105,99,4,132,14,116,4,5,22,37,4,31
ED-MA ICP 1 - 0,61,102,0,119,15,353,7,4,22,67,6,88
ED-BA ICP 1 - 0,53,52,1,103,12,340,10,12,41,77,8,99
ED-SP ICP 1 - 0,15,29,3,37,4,409,11,6,27,56,7,65
ED-RO ICP 1 - 0,31,24,0,46,2,309,4,3,14,59,13,92
ED-FS ICP 1 - 0,24,21,2,26,3,298,7,2,9,54,3,72
ED-MI ICP 1 - 0,50,42,0,68,4,516,11,11,30,121,24,103
ED-OT ICP 1 - 0,12,9,3,8,3,435,1,4,8,74,13,73
ED-LO ICP 1 - 0,58,80,1,115,9,331,2,5,27,64,7,94
ICC-Absentee by Mail - 10,0,0,0,0,0,1,0,0,0,0,0,0
ICC-Provisional - 1,0,0,0,1,0,3,0,0,0,0,0,1
