Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,23
Absentee by Mail,ICC-Absentee by Mail - 2,23
Absentee by Mail,ICC-Absentee by Mail - 3,24
Absentee by Mail,ICC-Absentee by Mail - 4,24
Absentee by Mail,ICC-Absentee by Mail - 5,13
Absentee by Mail,ICC-Absentee by Mail - 6,6
Advance Voting,AV-Elections Office ICP 2 - 0,766
Advance Voting,AV-Elections Office ICP 1 - 0,609
Election Day,ED-Raleigh ICP 1 - 0,123
Election Day,ED-Lower 9th-Woodbury ICP 1 - 0,327
Election Day,ED-8th-Greenville ICP 1 - 0,269
Election Day,ED-Upper 9th-Alvaton ICP 1 - 0,401
Election Day,ED-Third-Durand ICP 1 - 0,170
Election Day,ED-2nd-Warm Springs ICP 1 - 0,267
Election Day,ED-Middle 9th-Gay ICP 1 - 0,111
Election Day,ED-7th-Odessadale ICP 1 - 0,79
Election Day,ED-Cove ICP 1 - 0,86
Election Day,ED-Gill I ICP 1 - 0,301
Election Day,ED-Gill II ICP 1 - 0,235
Election Day,ED-Chalybeate ICP 1 - 0,112
Election Day,ED-Luthersville ICP 1 - 0,542
Election Day,ED-Lone Oak ICP 1 - 0,287
Provisional,ICC-Provisional - 1,1
