Container,Batch Name,Number of Ballots
Advance Voting,AV-Murray Co Rec Center ICP 2 - 0,909
Advance Voting,AV-Murray Co Rec Center ICP 1 - 0,908
Election Day,ED-Spring Place ICP 1 - 0,484
Election Day,ED-Southwest ICP 1 - 0,452
Election Day,ED-Shuck Pen ICP 1 - 0,430
Election Day,ED-Carters-Doolittle ICP 1 - 0,299
Election Day,ED-North ICP 1 - 0,313
Election Day,ED-McDonald ICP 1 - 0,269
Election Day,ED-Town ICP 1 & 2 - 0,686
Absentee by Mail,ICC - Absentee By Mail - 3,22
Absentee by Mail,ICC - Absentee By Mail - 1,34
Provisional,ICC - Provisional - 1,1
