Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ED-East ICP 2 - 0,36,68,1,39,3,56,8,3,6,8,6,9
ED-East ICP 1 - 0,41,82,2,39,4,53,4,2,4,6,9,4
ED-East ICP 3 - 0,34,70,4,52,3,47,7,3,6,9,2,8
ED-East ICP 4 - 0,44,71,4,34,3,48,10,1,5,8,5,10
AV-Election Office ICP 2 - 0,91,154,0,141,8,118,22,6,15,9,10,19
AV-Election Office ICP 4 - 0,32,69,1,33,0,47,8,4,4,7,2,14
AV-Election Office ICP 3 - 0,31,56,0,42,4,50,6,3,6,6,2,7
AV-Election Office ICP 1 - 0,99,159,9,113,7,123,23,7,10,10,11,15
absicp - 0,5,5,0,0,0,9,2,0,0,0,2,2
