Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 3,18
Absentee by Mail,ICC-Absentee by Mail - 2,14
Absentee by Mail,ICC-Absentee by Mail - 4,17
Absentee by Mail,ICC-Absentee by Mail - 5,16
Election Day,ICC-Election Day - 1,23
Election Day,ICC-Election Day - 3,20
Election Day,ICC-Election Day - 2,27
Election Day,ICC-Election Day - 4,6
Advance Voting,AV-Elections Office ICP 2 - 0,641
Advance Voting,AV-Elections Office ICP 1 - 0,157
Election Day,ED-Precinct 1 ICP 1 - 0,135
Election Day,ED-Precinct 5 ICP 1 - 0,262
Election Day,ED-Precinct 6 ICP 2 - 0,262
