Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,75
Absentee by Mail,Absentee By Mail ICC - 2,75
Absentee by Mail,Absentee By Mail ICC - 3,42
Advance Voting,AV-Lowndes Training Center ICP 1 - 0,3716
Advance Voting,AV-Lowndes Training Center ICP 2 - 0,3593
Absentee by Mail,Absentee By Mail ICC - 4,10
Absentee by Mail,Absentee By Mail ICC - 5,1
Election Day,ED-VSU ICP 1 - 0,6
Election Day,ED-Trinity ICP 1 - 0,378
Election Day,ED-Hahira Community Center ICP 1 - 0,226
Election Day,ED-Jaycee ICP 1 - 0,347
Election Day,ED-Pine Grove ICP 1 - 0,359
Election Day,ED-Lowndes Training Center ICP 1 - 0,450
Election Day,ED-Lowndes Training Center ICP 2 - 0,426
Election Day,ED-Mildred ICP 1 - 0,205
Election Day,ED-New Jerusalem ICP 2 - 0,201
Election Day,ED-New Jerusalem ICP 1 - 0,184
Election Day,ED-Lowndes Civic ICP 1 - 0,287
Election Day,ED-Lowndes Civic ICP 3 - 0,110
Election Day,ED-Lowndes Civic ICP 2 - 0,164
Election Day,ED-Clyattville ICP 1 - 0,460
Election Day,ED-Rainwater ICP 4 - 0,7
Election Day,ED-Rainwater ICP 2 - 0,164
Election Day,ED-Rainwater ICP 1 - 0,696
Election Day,ED-Rainwater ICP 3 - 0,584
Election Day,ED-Dasher ICP 1 - 0,342
Election Day,ED-Lake Park ICP 1 - 0,560
Election Day,ED-Naylor ICP 1 - 0,219
Election Day,ED-Train Depot ICP 1 - 0,619
Provisional,Provisional ICC - 1,26
