Container,Batch Name,Number of Ballots
Election Day,ED-Alamo ICP 1 - 0,331
Advance Voting,AV-Elections Office ICP 1 - 0,422
Provisional,ICC-Provisional - 1,1
Absentee by Mail,ICC-Absentee by Mail - 1,24
Election Day,ED-Glenwood ICP 1 - 0,244
