Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,86
Advance Voting,AV-Elections Office ICP 1 - 0,631
Election Day,ED-Dawson ICP 1 - 0,356
Election Day,ED-Parrott ICP 1 - 0,115
Election Day,ED-Herod-Dover ICP 1 - 0,41
Election Day,ED-Graves ICP 1 - 0,104
Election Day,ED-Bronwood ICP 1 - 0,138
Election Day,ED-Sasser ICP 1 - 0,261
