Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
CHEROKEE,ED-Liberty ICP 1 - 0,1028,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 111; Mike Collins: 236; John F. Coyne III: 3; Derek Dooley: 225; Jonathan ""Jon"" McColumn: 27","Earl L. ""Buddy"" Carter: 111; Mike Collins: 236; John F. Coyne III: 3; Derek Dooley: 225; Jonathan ""Jon"" McColumn: 27",,,"Keisha Lance Bottoms: 203; Olu Brown: 4; Amanda Duffy: 13; Geoff Duncan: 25; Jason Esteves: 106; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 8","Keisha Lance Bottoms: 203; Olu Brown: 4; Amanda Duffy: 13; Geoff Duncan: 25; Jason Esteves: 106; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 8",,,
CHEROKEE,ICC - Absentee By Mail - 7,50,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 9; Mike Collins: 7; John F. Coyne III: 1; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 9; Mike Collins: 7; John F. Coyne III: 1; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 13; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 2",,,
CHEROKEE,ICC - Absentee By Mail - 24,50,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 8; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 4","Earl L. ""Buddy"" Carter: 8; Mike Collins: 5; John F. Coyne III: 0; Derek Dooley: 11; Jonathan ""Jon"" McColumn: 4",,,"Keisha Lance Bottoms: 9; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 5; Jason Esteves: 6; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1","Keisha Lance Bottoms: 9; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 5; Jason Esteves: 6; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 1",,,
CLARKE,ED - 6B  ICP 1 - 0,732,Round 1: 0.238632187500916782,,Yes,"Earl L. ""Buddy"" Carter: 41; Mike Collins: 96; John F. Coyne III: 2; Derek Dooley: 134; Jonathan ""Jon"" McColumn: 11","Earl L. ""Buddy"" Carter: 41; Mike Collins: 96; John F. Coyne III: 2; Derek Dooley: 134; Jonathan ""Jon"" McColumn: 11",,,"Keisha Lance Bottoms: 185; Olu Brown: 2; Amanda Duffy: 12; Geoff Duncan: 29; Jason Esteves: 71; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 86","Keisha Lance Bottoms: 184; Olu Brown: 2; Amanda Duffy: 12; Geoff Duncan: 29; Jason Esteves: 71; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 86",Keisha Lance Bottoms: +1,1,
CLARKE,ED - 7A- 7B  ICP 2 - 0,529,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 19; Mike Collins: 50; John F. Coyne III: 2; Derek Dooley: 112; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 19; Mike Collins: 50; John F. Coyne III: 2; Derek Dooley: 112; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 110; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 21; Jason Esteves: 68; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 94","Keisha Lance Bottoms: 110; Olu Brown: 1; Amanda Duffy: 3; Geoff Duncan: 21; Jason Esteves: 68; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 94",,,
CLARKE,ED - 7C  ICP 1 - 0,397,,Round 1: 0.261244743534184278,Yes,"Earl L. ""Buddy"" Carter: 6; Mike Collins: 30; John F. Coyne III: 4; Derek Dooley: 69; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 6; Mike Collins: 30; John F. Coyne III: 4; Derek Dooley: 69; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 74; Olu Brown: 3; Amanda Duffy: 5; Geoff Duncan: 27; Jason Esteves: 71; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 62","Keisha Lance Bottoms: 74; Olu Brown: 3; Amanda Duffy: 5; Geoff Duncan: 27; Jason Esteves: 71; Derrick Jackson: 4; Michael ""Mike"" Thurmond: 62",,,
CLARKE,ICC - Absentee by Mail 2 - 10,29,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 8; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4","Keisha Lance Bottoms: 8; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 3; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 4",,,
CLARKE,ICC - Absentee By Mail 3 - 4,46,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 7; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 22","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 3; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 22",,,
CLAY,Absentee By Mail ICC - 1,6,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 4; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 0",,,
CLAY,Absentee By Mail ICC - 2,10,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 7; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 0; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0",,,
CLAY,ED-Social Services Building ICP 1 - 0,256,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 31; Mike Collins: 49; John F. Coyne III: 0; Derek Dooley: 20; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 31; Mike Collins: 49; John F. Coyne III: 0; Derek Dooley: 20; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 100; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 3; Jason Esteves: 3; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 15","Keisha Lance Bottoms: 100; Olu Brown: 3; Amanda Duffy: 2; Geoff Duncan: 3; Jason Esteves: 3; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 15",,,
CLAYTON,AV-Forest Park Senior Center ICP 1 - 0,874,Round 1: 0.520272243790008150,,Yes,"Earl L. ""Buddy"" Carter: 29; Mike Collins: 23; John F. Coyne III: 1; Derek Dooley: 29; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 29; Mike Collins: 23; John F. Coyne III: 1; Derek Dooley: 29; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 475; Olu Brown: 7; Amanda Duffy: 10; Geoff Duncan: 24; Jason Esteves: 90; Derrick Jackson: 11; Michael ""Mike"" Thurmond: 152","Keisha Lance Bottoms: 475; Olu Brown: 7; Amanda Duffy: 9; Geoff Duncan: 24; Jason Esteves: 90; Derrick Jackson: 11; Michael ""Mike"" Thurmond: 152",Amanda Duffy: +1,-1,
CLAYTON,AV-Lake Spivey Rec Center ICP 1 - 0,1001,,Round 1: 0.778003916132730803,Yes,"Earl L. ""Buddy"" Carter: 35; Mike Collins: 51; John F. Coyne III: 2; Derek Dooley: 59; Jonathan ""Jon"" McColumn: 3","Earl L. ""Buddy"" Carter: 35; Mike Collins: 51; John F. Coyne III: 2; Derek Dooley: 59; Jonathan ""Jon"" McColumn: 3",,,"Keisha Lance Bottoms: 496; Olu Brown: 9; Amanda Duffy: 7; Geoff Duncan: 48; Jason Esteves: 93; Derrick Jackson: 17; Michael ""Mike"" Thurmond: 154","Keisha Lance Bottoms: 496; Olu Brown: 9; Amanda Duffy: 7; Geoff Duncan: 48; Jason Esteves: 93; Derrick Jackson: 17; Michael ""Mike"" Thurmond: 154",,,
CLAYTON,AV-Sonna Singleton Gregory Sen Ctr ICP 1 - 0,1324,Round 1: 0.044980453239274420,,Yes,"Earl L. ""Buddy"" Carter: 11; Mike Collins: 14; John F. Coyne III: 1; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 11; Mike Collins: 14; John F. Coyne III: 1; Derek Dooley: 12; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 858; Olu Brown: 9; Amanda Duffy: 3; Geoff Duncan: 23; Jason Esteves: 88; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 252","Keisha Lance Bottoms: 858; Olu Brown: 9; Amanda Duffy: 3; Geoff Duncan: 23; Jason Esteves: 88; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 252",,,
CLAYTON,ED-Jonesboro 14 ICP 1 - 0,536,Round 1: 0.188483998641473939,,Yes,"Earl L. ""Buddy"" Carter: 36; Mike Collins: 29; John F. Coyne III: 0; Derek Dooley: 49; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 36; Mike Collins: 29; John F. Coyne III: 0; Derek Dooley: 49; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 266; Olu Brown: 4; Amanda Duffy: 1; Geoff Duncan: 13; Jason Esteves: 59; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 54","Keisha Lance Bottoms: 266; Olu Brown: 4; Amanda Duffy: 1; Geoff Duncan: 13; Jason Esteves: 59; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 54",,,
CLAYTON,ED-Jonesboro 20 ICP 1 - 0,210,Round 1: 0.338810139738366300,,Yes,"Earl L. ""Buddy"" Carter: 10; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 10; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 133; Olu Brown: 3; Amanda Duffy: 1; Geoff Duncan: 7; Jason Esteves: 15; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 26","Keisha Lance Bottoms: 133; Olu Brown: 3; Amanda Duffy: 1; Geoff Duncan: 7; Jason Esteves: 15; Derrick Jackson: 2; Michael ""Mike"" Thurmond: 26",,,
CLAYTON,ED-Morrow 11 ICP 1 - 0,264,Round 1: 0.060735752719792098,,Yes,"Earl L. ""Buddy"" Carter: 10; Mike Collins: 7; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 10; Mike Collins: 7; John F. Coyne III: 1; Derek Dooley: 4; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 164; Olu Brown: 4; Amanda Duffy: 3; Geoff Duncan: 2; Jason Esteves: 22; Derrick Jackson: 7; Michael ""Mike"" Thurmond: 33","Keisha Lance Bottoms: 164; Olu Brown: 4; Amanda Duffy: 3; Geoff Duncan: 3; Jason Esteves: 22; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 33",Geoff Duncan: -1; Derrick Jackson: -1,1,
CLAYTON,ICC 1 - Absentee by Mail - 4,24,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 14; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 4; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
CLAYTON,ICC 1 - Absentee by Mail - 8,25,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 16; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 7","Keisha Lance Bottoms: 16; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 7",,,
CLINCH,ED-Argyle ICP 1 - 0,69,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 34; Mike Collins: 26; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 34; Mike Collins: 26; John F. Coyne III: 0; Derek Dooley: 2; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
CLINCH,ED-Dupont ICP 1 - 0,45,Round 1: EXTRA,,Yes,"Earl L. ""Buddy"" Carter: 12; Mike Collins: 16; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 2","Earl L. ""Buddy"" Carter: 12; Mike Collins: 16; John F. Coyne III: 0; Derek Dooley: 3; Jonathan ""Jon"" McColumn: 2",,,"Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 5; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
CLINCH,ICC - Absentee by Mail - 1,8,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 3; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 3; Mike Collins: 3; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,AV-Main 2  ICP 1B - 0,1535,Round 1: 0.464737890169503033,,Yes,"Earl L. ""Buddy"" Carter: 137; Mike Collins: 155; John F. Coyne III: 12; Derek Dooley: 262; Jonathan ""Jon"" McColumn: 24","Earl L. ""Buddy"" Carter: 137; Mike Collins: 155; John F. Coyne III: 12; Derek Dooley: 262; Jonathan ""Jon"" McColumn: 24",,,"Keisha Lance Bottoms: 574; Olu Brown: 14; Amanda Duffy: 7; Geoff Duncan: 83; Jason Esteves: 127; Derrick Jackson: 13; Michael ""Mike"" Thurmond: 100","Keisha Lance Bottoms: 573; Olu Brown: 14; Amanda Duffy: 7; Geoff Duncan: 83; Jason Esteves: 127; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 100",Keisha Lance Bottoms: +1; Derrick Jackson: +1,1,
COBB,AV-Main Office  ICP 1A - 0,2067,Round 1: 0.818824137203922163,,Yes,"Earl L. ""Buddy"" Carter: 116; Mike Collins: 148; John F. Coyne III: 7; Derek Dooley: 177; Jonathan ""Jon"" McColumn: 16","Earl L. ""Buddy"" Carter: 116; Mike Collins: 148; John F. Coyne III: 7; Derek Dooley: 177; Jonathan ""Jon"" McColumn: 16",,,"Keisha Lance Bottoms: 865; Olu Brown: 30; Amanda Duffy: 23; Geoff Duncan: 110; Jason Esteves: 385; Derrick Jackson: 23; Michael ""Mike"" Thurmond: 128","Keisha Lance Bottoms: 866; Olu Brown: 30; Amanda Duffy: 23; Geoff Duncan: 110; Jason Esteves: 384; Derrick Jackson: 23; Michael ""Mike"" Thurmond: 128",Keisha Lance Bottoms: -1; Jason Esteves: +1,-1,
COBB,AV-Northeast  ICP 2B - 0,1639,,Round 1: 0.530448223595289584,Yes,"Earl L. ""Buddy"" Carter: 161; Mike Collins: 285; John F. Coyne III: 15; Derek Dooley: 322; Jonathan ""Jon"" McColumn: 36","Earl L. ""Buddy"" Carter: 161; Mike Collins: 285; John F. Coyne III: 15; Derek Dooley: 322; Jonathan ""Jon"" McColumn: 36",,,"Keisha Lance Bottoms: 352; Olu Brown: 10; Amanda Duffy: 21; Geoff Duncan: 105; Jason Esteves: 233; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 45","Keisha Lance Bottoms: 352; Olu Brown: 10; Amanda Duffy: 21; Geoff Duncan: 105; Jason Esteves: 233; Derrick Jackson: 8; Michael ""Mike"" Thurmond: 45",,,
COBB,AV-North  ICP 1A - 0,3277,Round 1: 0.840330207666128690,,Yes,"Earl L. ""Buddy"" Carter: 334; Mike Collins: 554; John F. Coyne III: 11; Derek Dooley: 482; Jonathan ""Jon"" McColumn: 50","Earl L. ""Buddy"" Carter: 334; Mike Collins: 554; John F. Coyne III: 11; Derek Dooley: 482; Jonathan ""Jon"" McColumn: 50",,,"Keisha Lance Bottoms: 1115; Olu Brown: 16; Amanda Duffy: 23; Geoff Duncan: 158; Jason Esteves: 288; Derrick Jackson: 32; Michael ""Mike"" Thurmond: 140","Keisha Lance Bottoms: 1115; Olu Brown: 16; Amanda Duffy: 23; Geoff Duncan: 158; Jason Esteves: 288; Derrick Jackson: 32; Michael ""Mike"" Thurmond: 140",,,
COBB,AV-South  ICP 1A - 0,5544,Round 1: 0.569168875042195018,,Yes,"Earl L. ""Buddy"" Carter: 166; Mike Collins: 179; John F. Coyne III: 14; Derek Dooley: 301; Jonathan ""Jon"" McColumn: 23","Earl L. ""Buddy"" Carter: 166; Mike Collins: 179; John F. Coyne III: 14; Derek Dooley: 301; Jonathan ""Jon"" McColumn: 23",,,"Keisha Lance Bottoms: 2959; Olu Brown: 44; Amanda Duffy: 30; Geoff Duncan: 245; Jason Esteves: 749; Derrick Jackson: 39; Michael ""Mike"" Thurmond: 731","Keisha Lance Bottoms: 2958; Olu Brown: 44; Amanda Duffy: 30; Geoff Duncan: 245; Jason Esteves: 749; Derrick Jackson: 39; Michael ""Mike"" Thurmond: 731",Keisha Lance Bottoms: +1,1,
COBB,AV-West ICP 1B - 0,1856,Round 1: 0.272835808915522017,,Yes,"Earl L. ""Buddy"" Carter: 213; Mike Collins: 348; John F. Coyne III: 3; Derek Dooley: 361; Jonathan ""Jon"" McColumn: 27","Earl L. ""Buddy"" Carter: 213; Mike Collins: 348; John F. Coyne III: 3; Derek Dooley: 361; Jonathan ""Jon"" McColumn: 27",,,"Keisha Lance Bottoms: 509; Olu Brown: 8; Amanda Duffy: 11; Geoff Duncan: 72; Jason Esteves: 186; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 74","Keisha Lance Bottoms: 509; Olu Brown: 8; Amanda Duffy: 11; Geoff Duncan: 72; Jason Esteves: 186; Derrick Jackson: 12; Michael ""Mike"" Thurmond: 74",,,
COBB,ED-Bells Ferry 04  ICP 1 - 0,659,Round 1: 0.679750930566589536,,Yes,"Earl L. ""Buddy"" Carter: 56; Mike Collins: 145; John F. Coyne III: 7; Derek Dooley: 112; Jonathan ""Jon"" McColumn: 11","Earl L. ""Buddy"" Carter: 56; Mike Collins: 145; John F. Coyne III: 7; Derek Dooley: 112; Jonathan ""Jon"" McColumn: 11",,,"Keisha Lance Bottoms: 154; Olu Brown: 5; Amanda Duffy: 17; Geoff Duncan: 24; Jason Esteves: 92; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 10","Keisha Lance Bottoms: 154; Olu Brown: 5; Amanda Duffy: 17; Geoff Duncan: 24; Jason Esteves: 92; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 10",,,
COBB,ED-Dickerson 01  ICP 1 - 0,573,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 53; Mike Collins: 111; John F. Coyne III: 3; Derek Dooley: 152; Jonathan ""Jon"" McColumn: 12","Earl L. ""Buddy"" Carter: 52; Mike Collins: 112; John F. Coyne III: 3; Derek Dooley: 152; Jonathan ""Jon"" McColumn: 12","Earl L. ""Buddy"" Carter: +1; Mike Collins: -1",2,"Keisha Lance Bottoms: 85; Olu Brown: 1; Amanda Duffy: 9; Geoff Duncan: 35; Jason Esteves: 74; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 13","Keisha Lance Bottoms: 85; Olu Brown: 1; Amanda Duffy: 9; Geoff Duncan: 35; Jason Esteves: 74; Derrick Jackson: 6; Michael ""Mike"" Thurmond: 13",,,
COBB,ED-Garrison Mill 01  ICP 1 - 0,604,Round 1: 0.147755462329924745,,Yes,"Earl L. ""Buddy"" Carter: 57; Mike Collins: 93; John F. Coyne III: 6; Derek Dooley: 159; Jonathan ""Jon"" McColumn: 12","Earl L. ""Buddy"" Carter: 57; Mike Collins: 93; John F. Coyne III: 6; Derek Dooley: 159; Jonathan ""Jon"" McColumn: 12",,,"Keisha Lance Bottoms: 106; Olu Brown: 4; Amanda Duffy: 6; Geoff Duncan: 20; Jason Esteves: 78; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 11","Keisha Lance Bottoms: 106; Olu Brown: 4; Amanda Duffy: 6; Geoff Duncan: 20; Jason Esteves: 78; Derrick Jackson: 9; Michael ""Mike"" Thurmond: 11",,,
COBB,ED-Sandy Plains 01  ICP 1 - 0,519,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 53; Mike Collins: 85; John F. Coyne III: 3; Derek Dooley: 115; Jonathan ""Jon"" McColumn: 11","Earl L. ""Buddy"" Carter: 53; Mike Collins: 85; John F. Coyne III: 3; Derek Dooley: 115; Jonathan ""Jon"" McColumn: 11",,,"Keisha Lance Bottoms: 99; Olu Brown: 5; Amanda Duffy: 13; Geoff Duncan: 21; Jason Esteves: 59; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 10","Keisha Lance Bottoms: 99; Olu Brown: 5; Amanda Duffy: 13; Geoff Duncan: 21; Jason Esteves: 59; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 10",,,
COBB,ED-Vinings 03  ICP 1 - 0,698,,Round 1: 0.712005627303296946,Yes,"Earl L. ""Buddy"" Carter: 40; Mike Collins: 41; John F. Coyne III: 1; Derek Dooley: 117; Jonathan ""Jon"" McColumn: 8","Earl L. ""Buddy"" Carter: 40; Mike Collins: 41; John F. Coyne III: 1; Derek Dooley: 117; Jonathan ""Jon"" McColumn: 8",,,"Keisha Lance Bottoms: 236; Olu Brown: 7; Amanda Duffy: 7; Geoff Duncan: 39; Jason Esteves: 142; Derrick Jackson: 11; Michael ""Mike"" Thurmond: 33","Keisha Lance Bottoms: 236; Olu Brown: 7; Amanda Duffy: 7; Geoff Duncan: 39; Jason Esteves: 142; Derrick Jackson: 11; Michael ""Mike"" Thurmond: 33",,,
COBB,ICC-Absentee by Mail 1 - 85,7,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 2; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 2; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 2; Jason Esteves: 2; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
COBB,ICC-Absentee by Mail 1 - 92,6,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 4; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
