Jurisdiction Name,Batch Name,Ballots in Batch,Ticket Numbers: US Senate - Rep,Ticket Numbers: Governor - Dem,Audited?,Reported Results: US Senate - Rep,Audit Results: US Senate - Rep,Change in Results: US Senate - Rep,Change in Margin: US Senate - Rep,Reported Results: Governor - Dem,Audit Results: Governor - Dem,Change in Results: Governor - Dem,Change in Margin: Governor - Dem,Combined Batch
APPLING,AV-Elections Office ICP 1 - 0,1839,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 836; Mike Collins: 450; John F. Coyne III: 1; Derek Dooley: 127; Jonathan ""Jon"" McColumn: 17","Earl L. ""Buddy"" Carter: 836; Mike Collins: 450; John F. Coyne III: 1; Derek Dooley: 127; Jonathan ""Jon"" McColumn: 17",,,"Keisha Lance Bottoms: 188; Olu Brown: 26; Amanda Duffy: 18; Geoff Duncan: 22; Jason Esteves: 17; Derrick Jackson: 29; Michael ""Mike"" Thurmond: 34","Keisha Lance Bottoms: 188; Olu Brown: 26; Amanda Duffy: 18; Geoff Duncan: 22; Jason Esteves: 17; Derrick Jackson: 29; Michael ""Mike"" Thurmond: 34",,,
APPLING,ICC-Absentee by Mail - 5,1,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 1; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 0; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
ATKINSON,Absentee By Mail ICC - 1,28,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 12; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 12; Mike Collins: 7; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2","Keisha Lance Bottoms: 6; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 2",,,
ATKINSON,ED-Pearson County ICP 1 - 0,213,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 39; Mike Collins: 101; John F. Coyne III: 1; Derek Dooley: 41; Jonathan ""Jon"" McColumn: 6","Earl L. ""Buddy"" Carter: 39; Mike Collins: 101; John F. Coyne III: 1; Derek Dooley: 41; Jonathan ""Jon"" McColumn: 6",,,"Keisha Lance Bottoms: 7; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 4; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 7; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 1; Jason Esteves: 4; Derrick Jackson: 3; Michael ""Mike"" Thurmond: 0",,,
BACON,Absentee By Mail ICC - 2,10,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 4; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 4; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3","Keisha Lance Bottoms: 1; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 0; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 3",,,
BACON,ED-Douglas ICP 2 - 0,422,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 181; Mike Collins: 144; John F. Coyne III: 4; Derek Dooley: 34; Jonathan ""Jon"" McColumn: 11","Earl L. ""Buddy"" Carter: 181; Mike Collins: 144; John F. Coyne III: 4; Derek Dooley: 34; Jonathan ""Jon"" McColumn: 10","Jonathan ""Jon"" McColumn: +1",1,"Keisha Lance Bottoms: 16; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 11","Keisha Lance Bottoms: 16; Olu Brown: 1; Amanda Duffy: 2; Geoff Duncan: 2; Jason Esteves: 3; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 11",,,
BAKER,AV-Elections Office ICP 1 - 0,272,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 31; Mike Collins: 34; John F. Coyne III: 0; Derek Dooley: 25; Jonathan ""Jon"" McColumn: 1","Earl L. ""Buddy"" Carter: 31; Mike Collins: 34; John F. Coyne III: 0; Derek Dooley: 25; Jonathan ""Jon"" McColumn: 0","Jonathan ""Jon"" McColumn: +1",1,"Keisha Lance Bottoms: 115; Olu Brown: 5; Amanda Duffy: 5; Geoff Duncan: 4; Jason Esteves: 6; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 20","Keisha Lance Bottoms: 115; Olu Brown: 5; Amanda Duffy: 5; Geoff Duncan: 4; Jason Esteves: 6; Derrick Jackson: 10; Michael ""Mike"" Thurmond: 20",,,
BAKER,Provisional ICC - 1,3,Round 1: EXTRA,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 0; Mike Collins: 0; John F. Coyne III: 0; Derek Dooley: 0; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 1; Olu Brown: 0; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 1; Derrick Jackson: 1; Michael ""Mike"" Thurmond: 0",,,
BALDWIN,ED-Courthouse ICP 1 - 0,35,,Round 1: EXTRA,Yes,"Earl L. ""Buddy"" Carter: 1; Mike Collins: 12; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0","Earl L. ""Buddy"" Carter: 1; Mike Collins: 12; John F. Coyne III: 0; Derek Dooley: 1; Jonathan ""Jon"" McColumn: 0",,,"Keisha Lance Bottoms: 8; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0","Keisha Lance Bottoms: 8; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 0; Jason Esteves: 4; Derrick Jackson: 0; Michael ""Mike"" Thurmond: 0",,,
BALDWIN,ED-North Baldwin ICP 1 - 0,639,Round 1: 0.427297706310130710,,Yes,"Earl L. ""Buddy"" Carter: 80; Mike Collins: 243; John F. Coyne III: 3; Derek Dooley: 125; Jonathan ""Jon"" McColumn: 10","Earl L. ""Buddy"" Carter: 80; Mike Collins: 243; John F. Coyne III: 3; Derek Dooley: 125; Jonathan ""Jon"" McColumn: 10",,,"Keisha Lance Bottoms: 100; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 11; Jason Esteves: 19; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 17","Keisha Lance Bottoms: 100; Olu Brown: 1; Amanda Duffy: 0; Geoff Duncan: 11; Jason Esteves: 19; Derrick Jackson: 5; Michael ""Mike"" Thurmond: 17",,,
