Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,2
Absentee by Mail,ICC-Absentee by Mail - 2,19
Absentee by Mail,ICC-Absentee by Mail - 3,20
Absentee by Mail,ICC-Absentee by Mail - 4,19
Absentee by Mail,ICC-Absentee by Mail - 5,20
Absentee by Mail,ICC-Absentee by Mail - 6,14
Absentee by Mail,ICC-Absentee by Mail - 7,21
Advance Voting,AV-Elections Office ICP 1 - 0,1290
Advance Voting,AV-East Glennville ICP 1 - 0,727
Absentee by Mail,ICC-Absentee by Mail - 8,8
Election Day,ED-District V ICP 1 - 0,215
Election Day,ED-Cobbtown ICP 1 - 0,178
Election Day,ED-Manassas ICP 1 - 0,108
Election Day,ED-Collins ICP 1 - 0,276
Election Day,ED-District II ICP 1 - 0,349
Election Day,ED-East Glennville ICP 1 - 0,427
Election Day,ED-District IV ICP 1 - 0,451
Provisional,ICC-Provisional - 1,1
