Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,2411
Absentee by Mail,ICC-Absentee by Mail - 1,22
Absentee by Mail,ICC-Absentee by Mail - 2,23
Absentee by Mail,ICC-Absentee by Mail - 3,23
Absentee by Mail,ICC-Absentee by Mail - 4,29
Absentee by Mail,ICC-Absentee by Mail - 5,29
Absentee by Mail,ICC-Absentee by Mail - 6,24
Election Day,ED-Gray ICP 1 - 0,390
Election Day,ED-Sanders ICP 1 - 0,50
Election Day,ED-Roberts ICP 1 - 0,379
Election Day,ED-Clinton ICP 1 - 0,314
Election Day,ED-Pope ICP 1 - 0,401
Election Day,ED-Ethridge 7 ICP 1 - 0,252
Election Day,ED-Barron ICP 1 - 0,281
Election Day,ED-Finney ICP 1 - 0,585
Election Day,ED-Davidson ICP 1 - 0,274
Election Day,ED-Hawkins ICP 1 - 0,489
Provisional,ICC-Provisional - 1,1
