Batch Name,"US Senate - Rep - Earl L. ""Buddy"" Carter",US Senate - Rep - Mike Collins,US Senate - Rep - John F. Coyne III,US Senate - Rep - Derek Dooley,"US Senate - Rep - Jonathan ""Jon"" McColumn",Governor - Dem - Keisha Lance Bottoms,Governor - Dem - Olu Brown,Governor - Dem - Amanda Duffy,Governor - Dem - Geoff Duncan,Governor - Dem - Jason Esteves,Governor - Dem - Derrick Jackson,"Governor - Dem - Michael ""Mike"" Thurmond"
ICC-Absentee by Mail - 1,0,5,0,6,0,7,0,0,5,0,0,0
ICC-Absentee by Mail - 2,5,6,0,1,0,9,0,0,0,0,1,1
ICC-Absentee by Mail - 3,4,4,0,7,2,1,0,0,3,0,0,0
ICC-Absentee by Mail - 4,9,4,0,3,2,4,0,0,0,0,0,1
ICC-Absentee by Mail - 5,4,1,0,3,0,10,0,0,0,0,0,4
ICC-Absentee by Mail - 6,10,3,0,5,2,2,0,0,1,1,0,0
ICC-Absentee by Mail - 7,8,2,0,0,0,6,0,0,6,0,0,2
ICC-Absentee by Mail - 8,11,1,0,3,2,4,0,0,0,2,0,2
ICC-Absentee by Mail - 9,7,1,0,1,0,7,0,0,4,0,0,2
ICC-Absentee by Mail - 10,5,2,0,9,0,6,0,0,1,0,0,0
ICC-Absentee by Mail - 11,5,2,0,4,2,4,1,0,3,0,0,1
ICC-Absentee by Mail - 12,4,4,0,2,0,9,0,1,1,1,0,2
ICC-Absentee by Mail - 13,5,6,0,5,2,2,0,0,3,0,0,0
ICC-Absentee by Mail - 14,8,5,0,2,0,4,0,0,2,0,0,2
ICC-Absentee by Mail - 15,7,6,0,5,2,1,0,0,2,0,0,0
ICC-Absentee by Mail - 16,4,5,0,4,0,1,0,0,12,4,0,1
ICC-Absentee by Mail - 17,3,9,0,3,0,2,0,0,0,1,0,2
ICC-Absentee by Mail - 19,5,5,0,4,1,6,0,0,3,0,0,0
ICC-Absentee by Mail - 20,6,9,1,6,0,3,0,0,1,2,0,2
ICC-Absentee by Mail - 21,1,4,1,8,2,2,0,0,1,0,0,0
ICC-Absentee by Mail - 22,5,4,0,9,1,2,0,0,1,0,0,0
ICC-Absentee by Mail - 23,2,2,0,2,1,8,0,0,1,4,1,3
ICC-Absentee by Mail - 24,8,3,0,6,0,2,0,0,0,0,0,2
ICC-Absentee by Mail - 25,5,4,0,8,1,3,0,0,0,0,0,3
